SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1097.00,1140.95,1090.10,1129.40,1129.40,1092.65,2707,24300,27294429.00,
500003,AEGIS LOGIS ,B ,Q,391.70,393.00,374.50,378.60,381.20,388.65,1317,10696,4076309.00,
500008,AMAR RAJA BA,A ,Q,707.00,711.50,690.65,697.10,697.10,703.55,1797,24297,17021088.00,
500009,A.SARABHAI  ,B ,Q,5.23,5.43,5.20,5.25,5.20,5.47,75,12598,66062.00,
500010,HDFC        ,A ,Q,1129.05,1131.50,1105.55,1126.15,1126.15,1127.50,2736,32948,36908152.00,
500012,ANDHRA PETRO,B ,Q,9.00,9.51,9.00,9.37,9.40,9.04,179,29027,266739.00,
500013,ANSAL INFRAS,B ,Q,31.20,32.30,31.15,31.80,32.00,31.50,434,19452,619097.00,
500014,APPLE FINANC,B ,Q,2.43,3.15,2.43,3.07,3.10,2.96,107,43750,130867.00,
500020,BOM DYEING  ,B ,Q,69.95,70.85,68.55,69.15,69.15,69.05,3397,302046,21023925.00,
500023,ASIANHOTNR  ,B ,Q,119.05,128.00,117.00,124.20,124.05,121.35,89,105099,12317974.00,
500024,ASSAMCO     ,B ,Q,4.35,4.50,4.35,4.38,4.38,4.37,703,262928,1152859.00,
500027,ATUL LTD.   ,A ,Q,1337.60,1360.00,1320.25,1342.20,1337.10,1332.65,1151,4386,5894229.00,
500028,ATV PROJECTS,T ,Q,3.57,3.75,3.57,3.70,3.70,3.75,41,2063,7377.00,
500029,AUTOLITE(I) ,B ,Q,33.95,35.60,33.95,35.00,34.80,33.60,58,2453,85875.00,
500030,AUTORID.FIN ,B ,Q,1.48,1.48,1.48,1.48,1.48,1.55,8,567,839.00,
500031,BAJAJ ELECT.,A ,Q,245.10,248.65,233.10,233.85,233.85,244.70,12736,208268,49770348.00,
500032,BAJAJHIND.LT,B ,Q,22.70,22.95,21.65,22.15,22.15,22.60,5610,1182164,26315094.00,
500033,FORCE MOTR  ,B ,Q,1266.00,1314.00,1266.00,1282.25,1282.25,1273.40,9011,124103,160350597.00,
500034,BAJFINANCE  ,A ,Q,2960.00,3008.20,2960.00,2969.55,2968.50,2995.80,322,804,2401308.00,
500038,BALRAM.CHINI,A ,Q,63.20,67.50,61.25,64.35,64.35,63.65,11213,677325,43591478.00,
500039,BANCO PROD. ,B ,Q,157.00,164.40,154.40,163.00,163.00,156.00,910,26383,4211549.00,
500040,CENTURY TEXT,A ,Q,573.00,579.65,570.10,574.90,574.90,570.90,1536,37047,21312074.00,
500041,BANNARI AMAN,B ,Q,1375.15,1427.25,1375.15,1396.20,1410.00,1415.90,279,711,1000488.00,
500042,BASF INDIA  ,B ,Q,1309.90,1358.60,1305.00,1322.80,1322.80,1304.90,2723,15743,20977570.00,
500043,BATA INDIA  ,A ,Q,1292.00,1327.00,1286.00,1311.90,1311.90,1275.85,2379,22689,29553371.00,
500046,BEST&CROMPT.,Z ,Q,3.97,3.98,3.97,3.98,3.98,4.17,4,205,813.00,
500048,BEML LTD    ,A ,Q,713.00,752.00,704.30,728.20,728.20,712.90,10638,132783,97480651.00,
500049,BHARAT ELECT,A ,Q,2280.00,2309.00,2225.65,2249.15,2249.15,2269.65,2029,7521,17023927.00,
500052,BHANSALI ENG,B ,Q,16.00,16.00,15.30,15.30,15.30,15.00,10,1542,24642.00,
500055,BHUSH STEEL ,A ,Q,108.35,108.65,106.00,106.80,106.80,107.20,2102,89544,9584927.00,
500057,ABCIL       ,B ,Q,246.90,252.75,245.20,246.95,246.00,245.05,240,3030,752759.00,
500058,BIHAR SPONGE,T ,Q,3.35,3.41,3.16,3.32,3.41,3.25,73,12311,41216.00,
500059,BINANI IND. ,B ,Q,112.65,115.80,112.30,112.80,112.80,111.60,493,15348,1745370.00,
500060,BIRLA ERIC. ,T ,Q,66.05,69.50,66.05,66.05,66.05,69.50,274,89702,5932679.00,
500067,BLUE STAR   ,B ,Q,354.10,360.00,350.95,354.35,354.35,354.70,392,4987,1776194.00,
500068,DISA INDIA  ,B ,Q,3586.00,3700.00,3585.00,3700.00,3700.00,3614.00,22,174,642033.00,
500069,BNK CAPITAL ,B ,Q,33.30,36.75,33.30,35.55,36.75,35.10,20,1495,52236.00,
500074,BPL LTD.    ,B ,Q,22.80,23.20,21.65,22.15,22.15,22.80,676,47016,1057387.00,
500078,CAMPH.& ALL ,B ,Q,370.00,375.00,365.25,369.70,369.70,372.85,91,1983,734398.00,
500083,CENTURY EXT ,B ,Q,1.61,2.40,1.61,2.10,2.10,2.00,392,26184,53265.00,
500084,CESC LTD.   ,A ,Q,717.85,763.60,707.50,757.20,757.20,713.35,10255,163774,121114983.00,
500085,CHAMBAL FERT,B ,Q,68.80,69.90,67.00,68.60,68.60,66.50,4822,313515,21585459.00,
500086,EXIDE IND.  ,A ,Q,161.75,163.90,160.00,161.10,161.10,161.35,1969,94213,15208356.00,
