SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1110.80,1124.00,1091.05,1118.45,1118.45,1110.80,981,6185,6901157.00,
500003,AEGIS LOGIS ,B ,Q,460.50,476.75,453.20,457.85,457.85,460.40,1398,13543,6318289.00,
500008,AMAR RAJA BA,A ,Q,750.00,767.75,729.00,733.65,733.65,750.60,1865,23570,17682815.00,
500009,A.SARABHAI  ,B ,Q,4.82,5.00,4.79,4.90,4.90,5.04,51,9504,46245.00,
500010,HDFC        ,A ,Q,1160.50,1164.50,1136.15,1138.15,1138.15,1160.10,2722,31955,36651908.00,
500012,ANDHRA PETRO,B ,Q,9.10,9.24,8.80,8.88,8.88,9.06,135,19135,171990.00,
500013,ANSAL INFRAS,B ,Q,30.60,31.05,30.15,30.30,30.25,31.25,172,12838,393750.00,
500014,APPLE FINANC,B ,Q,3.45,3.79,2.95,3.10,3.10,3.18,39,10401,32417.00,
500020,BOM DYEING  ,B ,Q,69.15,69.60,67.25,67.75,67.75,69.05,2334,212128,14484856.00,
500024,ASSAMCO     ,B ,Q,4.50,4.52,4.43,4.47,4.47,4.49,276,265122,1188668.00,
500027,ATUL LTD.   ,A ,Q,1279.45,1279.45,1050.80,1269.65,1269.65,1279.45,610,23374,29547905.00,
500028,ATV PROJECTS,T ,Q,3.42,3.60,3.34,3.60,3.60,3.43,24,8480,28819.00,
500029,AUTOLITE(I) ,B ,Q,37.10,38.00,35.30,36.05,36.05,36.35,57,1420,52182.00,
500030,AUTORID.FIN ,B ,Q,0.92,0.92,0.92,0.92,0.92,0.96,26,11000,10120.00,
500031,BAJAJ ELECT.,A ,Q,204.00,207.00,191.00,201.70,201.70,204.25,2071,75793,15136668.00,
500032,BAJAJHIND.LT,B ,Q,20.50,21.00,19.90,20.05,20.10,20.70,2360,414106,8415562.00,
500033,FORCE MOTR  ,B ,Q,1264.50,1310.50,1231.25,1238.75,1238.75,1261.00,5584,68763,85984995.00,
500034,BAJFINANCE  ,A ,Q,3100.00,3143.20,3040.00,3078.65,3078.65,3083.85,660,2769,8516074.00,
500038,BALRAM.CHINI,A ,Q,60.00,60.30,59.00,59.30,59.30,59.80,452,27983,1671264.00,
500039,BANCO PROD. ,B ,Q,169.00,173.90,164.95,168.15,172.00,169.45,474,11816,1988566.00,
500040,CENTURY TEXT,A ,Q,541.10,550.00,527.00,532.00,532.00,541.35,1781,37999,20303898.00,
500041,BANNARI AMAN,B ,Q,1222.05,1232.00,1222.05,1228.00,1228.00,1263.85,67,173,212492.00,
500042,BASF INDIA  ,B ,Q,1270.00,1315.00,1244.00,1275.15,1275.15,1269.95,731,3656,4718765.00,
500043,BATA INDIA  ,A ,Q,1260.00,1263.20,1245.00,1251.45,1251.45,1253.20,1180,8929,11199866.00,
500048,BEML LTD    ,A ,Q,714.05,716.50,695.65,700.45,700.45,708.30,1721,18797,13242630.00,
500049,BHARAT ELECT,A ,Q,2320.00,2335.00,2289.50,2303.30,2303.30,2310.95,914,3695,8528704.00,
500052,BHANSALI ENG,B ,Q,13.90,14.25,13.50,13.99,14.00,14.45,58,8469,116372.00,
500055,BHUSH STEEL ,A ,Q,97.00,106.50,94.30,101.50,101.50,96.95,5630,202888,20648270.00,
500057,ABCIL       ,B ,Q,250.00,294.00,237.50,239.70,239.70,246.05,209,2485,612419.00,
500058,BIHAR SPONGE,T ,Q,2.90,3.04,2.82,2.88,2.99,2.96,35,4504,12847.00,
500059,BINANI IND. ,B ,Q,102.55,104.00,101.00,102.10,102.10,102.75,344,14981,1544406.00,
500060,BIRLA ERIC. ,T ,Q,66.40,66.40,62.00,62.50,62.00,64.90,154,13333,843435.00,
500067,BLUE STAR   ,B ,Q,350.00,350.00,343.10,344.20,344.20,342.75,221,2017,698796.00,
500068,DISA INDIA  ,B ,Q,3639.00,3670.00,3639.00,3664.95,3664.95,3552.00,6,9,32937.00,
500069,BNK CAPITAL ,B ,Q,36.25,36.25,32.05,32.60,33.00,32.10,50,2157,71147.00,
500074,BPL LTD.    ,B ,Q,20.00,20.40,19.70,19.85,19.80,20.20,198,15482,310377.00,
500078,CAMPH.& ALL ,B ,Q,348.90,349.95,333.00,335.70,333.00,344.85,61,685,231190.00,
500083,CENTURY EXT ,B ,Q,2.38,2.38,1.90,1.96,1.95,2.15,553,56445,112874.00,
500084,CESC LTD.   ,A ,Q,710.00,724.70,710.00,716.45,716.45,709.40,1536,14745,10600680.00,
500085,CHAMBAL FERT,B ,Q,66.10,67.30,65.50,66.00,66.00,66.35,1046,50883,3371829.00,
500086,EXIDE IND.  ,A ,Q,166.00,169.65,165.00,167.90,167.90,166.00,3150,168113,28240328.00,
500087,CIPLA LTD.  ,A ,Q,635.00,651.00,630.00,643.05,643.05,634.95,6078,155491,99936409.00,
500089,DIC INDIA   ,B ,Q,336.70,400.00,336.70,386.60,382.30,389.95,509,42871,15174402.00,
500092,CRISIL LTD  ,A ,Q,1903.20,1919.90,1875.00,1883.40,1883.40,1905.70,479,1294,2456547.00,
500093,CROMPT.GREAV,A ,Q,191.25,193.45,186.20,186.70,186.70,190.75,11660,615209,116055777.00,
500095,WYETH LTD.  ,B ,Q,1201.10,1232.90,1201.00,1224.40,1224.40,1223.75,327,1674,2040709.00,
500096,DABUR (I)   ,A ,Q,241.00,248.00,238.70,245.40,245.40,241.10,1776,52701,12939551.00,
500097,DALMIASUG   ,B ,Q,21.00,23.00,19.00,21.65,22.00,22.35,45,1392,30217.00,
500101,ARVIND Ltd  ,A ,Q,279.45,283.70,274.00,275.55,275.55,280.00,4018,179847,49941538.00,
500102,BALARPUR IND,B ,Q,16.60,17.45,16.25,16.35,16.35,16.70,1133,225561,3726821.00,
500103,BHEL        ,A ,Q,282.90,282.90,272.85,274.00,274.00,283.20,6762,285561,79098794.00,
500104,HIND.PETRO  ,A ,Q,614.65,617.55,599.15,603.65,603.65,596.75,11573,365928,222044797.00,
500106,IFCI LTD    ,A ,Q,39.65,43.30,38.65,39.05,39.05,39.95,3367,688573,27014550.00,
500108,MAHA.TELE   ,B ,Q,27.20,28.20,27.00,27.10,27.10,27.65,1515,253776,6940797.00,
500109,MRPL        ,A ,Q,56.00,56.00,52.20,52.85,53.00,54.95,1245,71320,3840460.00,
500110,CHENNAI PET.,B ,Q,90.75,91.30,86.70,87.15,87.15,90.25,1794,89500,7915006.00,
500111,REL.CAP.    ,A ,Q,525.00,529.45,511.00,513.15,513.15,524.35,15109,436192,226274251.00,
500112,STATE BANK  ,A ,Q,323.00,327.10,317.75,319.45,319.45,321.45,37688,2049882,659041164.00,
500113,STEEL AUTH. ,A ,Q,89.30,90.45,86.90,87.85,87.85,89.30,4206,441863,38972941.00,
500114,TITAN       ,A ,Q,400.00,400.00,385.00,389.65,389.65,370.05,15746,519133,203628307.00,
500116,IDBI BANK L ,A ,Q,72.60,73.20,70.30,70.60,70.60,72.40,3135,326280,23273030.00,
500117,DCW LTD.    ,B ,Q,21.50,22.60,21.35,21.80,21.80,21.30,4128,712370,15653041.00,
500119,DHAMPUR SUGA,B ,Q,44.50,51.00,44.40,47.10,47.10,47.45,150,9201,435152.00,
500120,DIAMINES&CHM,B ,Q,37.00,37.00,33.70,34.35,34.45,35.00,32,1394,47638.00,
500123,ELANTAS     ,B ,Q,873.00,945.00,847.15,882.15,881.00,864.85,294,3462,3056005.00,
