SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
413228,PENNAR STEEL,B ,Q,60.00,60.00,60.00,60.00,60.00,58.70,4,25,1500.00,
500002,ABB LTD.    ,A ,Q,1105.00,1120.00,1090.00,1092.65,1092.65,1102.95,731,5196,5747025.00,
500003,AEGIS LOGIS ,B ,Q,366.60,396.00,364.00,388.65,390.00,367.95,3770,45391,17498484.00,
500008,AMAR RAJA BA,A ,Q,724.00,724.00,700.00,703.55,703.55,718.50,2045,32439,23055642.00,
500009,A.SARABHAI  ,B ,Q,5.50,5.80,5.43,5.47,5.43,5.71,51,7702,42217.00,
500010,HDFC        ,A ,Q,1142.35,1143.40,1121.00,1127.50,1129.00,1142.05,1865,29728,33617670.00,
500012,ANDHRA PETRO,B ,Q,9.25,9.39,8.99,9.04,9.04,9.22,189,102497,938353.00,
500013,ANSAL INFRAS,B ,Q,31.00,32.90,31.00,31.50,31.50,30.80,734,41483,1319561.00,
500014,APPLE FINANC,B ,Q,2.56,3.24,2.56,2.96,2.93,2.95,125,31549,96013.00,
500020,BOM DYEING  ,B ,Q,71.30,71.35,68.70,69.05,69.05,70.85,3367,299022,20858646.00,
500023,ASIANHOTNR  ,B ,Q,117.30,122.00,117.30,121.35,122.00,120.00,25,479,56499.00,
500024,ASSAMCO     ,B ,Q,4.50,4.58,4.35,4.37,4.37,4.51,892,281630,1244103.00,
500027,ATUL LTD.   ,A ,Q,1349.90,1356.00,1330.00,1332.65,1338.00,1345.15,580,2838,3805613.00,
500028,ATV PROJECTS,T ,Q,3.43,3.76,3.43,3.75,3.48,3.59,67,11722,42794.00,
500029,AUTOLITE(I) ,B ,Q,35.10,35.50,33.25,33.60,33.60,35.55,138,7838,264218.00,
500030,AUTORID.FIN ,B ,Q,1.55,1.55,1.55,1.55,1.55,1.63,4,8,12.00,
500031,BAJAJ ELECT.,A ,Q,277.60,289.45,233.40,244.70,244.70,276.60,31435,731437,187512400.00,
500032,BAJAJHIND.LT,B ,Q,20.55,22.95,20.55,22.60,22.60,20.50,10225,2399315,53146482.00,
500033,FORCE MOTR  ,B ,Q,1315.00,1329.70,1265.20,1273.40,1273.40,1313.10,10694,163274,211510486.00,
500034,BAJFINANCE  ,A ,Q,2998.15,3020.00,2976.60,2995.80,2995.80,2977.85,451,1439,4313076.00,
500038,BALRAM.CHINI,A ,Q,56.50,65.15,56.50,63.65,63.65,54.30,24134,2584928,161376793.00,
500039,BANCO PROD. ,B ,Q,162.00,162.05,155.00,156.00,156.00,160.10,642,18580,2916716.00,
500040,CENTURY TEXT,A ,Q,583.70,585.60,567.15,570.90,570.90,580.60,2704,66991,38476234.00,
500041,BANNARI AMAN,B ,Q,1316.00,1439.95,1315.00,1415.90,1415.90,1304.35,479,3406,4694339.00,
500042,BASF INDIA  ,B ,Q,1270.50,1311.85,1230.00,1304.90,1304.90,1266.90,3003,28091,36241193.00,
500043,BATA INDIA  ,A ,Q,1250.00,1290.00,1227.55,1275.85,1275.85,1245.40,1817,16931,21274248.00,
500046,BEST&CROMPT.,Z ,Q,3.79,4.17,3.79,4.17,4.17,3.98,56,18767,71187.00,
500048,BEML LTD    ,A ,Q,726.00,732.80,708.20,712.90,712.90,726.00,4010,50146,35940531.00,
500049,BHARAT ELECT,A ,Q,2325.00,2333.70,2250.00,2269.65,2269.65,2314.95,2358,11411,26172745.00,
500051,BHAG GAS    ,Z ,Q,0.93,0.93,0.89,0.91,0.91,0.93,12,900,825.00,
500052,BHANSALI ENG,B ,Q,15.95,15.95,15.00,15.00,15.00,15.05,18,1803,27327.00,
500055,BHUSH STEEL ,A ,Q,109.85,110.35,106.50,107.20,107.20,108.30,1706,74524,8078433.00,
500057,ABCIL       ,B ,Q,240.70,252.50,240.70,245.05,245.05,241.85,254,3029,751772.00,
500058,BIHAR SPONGE,T ,Q,2.96,3.25,2.96,3.25,3.25,3.10,46,10125,32708.00,
500059,BINANI IND. ,B ,Q,116.85,116.85,111.05,111.60,111.60,116.00,521,17537,1974779.00,
500060,BIRLA ERIC. ,T ,Q,69.50,69.50,69.50,69.50,69.50,73.15,88,5432,377524.00,
500067,BLUE STAR   ,B ,Q,351.95,364.25,351.95,354.70,355.15,351.90,827,8628,3082457.00,
500068,DISA INDIA  ,B ,Q,3753.00,3753.00,3567.00,3614.00,3630.00,3677.50,34,131,475127.00,
500069,BNK CAPITAL ,B ,Q,33.15,37.50,33.15,35.10,35.10,35.05,41,3510,123318.00,
500074,BPL LTD.    ,B ,Q,23.75,23.95,22.65,22.80,22.80,23.55,516,48545,1124357.00,
500078,CAMPH.& ALL ,B ,Q,384.00,385.00,371.00,372.85,373.00,380.05,162,4301,1623569.00,
500083,CENTURY EXT ,B ,Q,2.19,2.19,1.95,2.00,2.04,2.01,266,5719,11333.00,
500084,CESC LTD.   ,A ,Q,710.55,719.50,703.15,713.35,713.35,707.50,2340,45384,32362812.00,
500085,CHAMBAL FERT,B ,Q,68.80,68.80,66.00,66.50,66.50,66.95,2325,126898,8506475.00,
500086,EXIDE IND.  ,A ,Q,165.80,165.80,160.00,161.35,161.35,164.20,2530,167125,27218245.00,
500087,CIPLA LTD.  ,A ,Q,619.50,634.65,619.00,624.15,624.15,618.50,7714,191900,120331624.00,
500089,DIC INDIA   ,B ,Q,401.00,408.95,397.10,400.15,400.15,407.30,141,846,339951.00,
500092,CRISIL LTD  ,A ,Q,1914.90,1935.00,1905.00,1918.95,1928.65,1901.25,405,1087,2090112.00,
500093,CROMPT.GREAV,A ,Q,192.95,193.75,184.85,187.15,187.15,191.65,5543,290968,54974408.00,
500095,WYETH LTD.  ,B ,Q,1130.60,1141.00,1105.00,1124.05,1125.70,1113.60,218,1288,1447441.00,
500096,DABUR (I)   ,A ,Q,234.95,236.10,229.40,231.80,231.80,233.65,2655,116803,27192642.00,
500097,DALMIASUG   ,B ,Q,22.85,24.85,22.75,23.90,23.90,22.75,486,41408,994265.00,
500101,ARVIND Ltd  ,A ,Q,286.90,288.00,276.30,278.55,278.55,285.65,8782,336347,94589686.00,
500102,BALARPUR IND,B ,Q,17.05,17.75,16.80,17.20,17.20,16.95,1925,572541,9915200.00,
500103,BHEL        ,A ,Q,248.50,252.60,245.25,246.90,246.90,247.20,9563,458981,114585868.00,
500104,HIND.PETRO  ,A ,Q,577.00,577.00,539.10,541.80,541.80,577.05,12284,289220,159954702.00,
500106,IFCI LTD    ,A ,Q,39.30,39.55,37.90,38.10,38.10,39.30,5378,1154779,44687945.00,
500108,MAHA.TELE   ,B ,Q,30.10,30.20,29.35,29.60,29.60,30.15,1824,296779,8818794.00,
500109,MRPL        ,A ,Q,61.05,62.15,58.20,59.45,59.45,62.00,8187,787599,46875617.00,
500110,CHENNAI PET.,B ,Q,97.65,98.50,94.00,95.35,95.35,96.75,3965,214914,20662132.00,
500111,REL.CAP.    ,A ,Q,479.40,482.40,469.95,475.00,475.00,477.50,17007,518341,246162134.00,
