SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1106.50,1118.65,1093.25,1099.40,1099.40,1102.20,1283,8997,9950305.00,
500003,AEGIS LOGIS ,B ,Q,483.00,491.90,462.00,468.00,468.00,473.60,4165,62426,29840819.00,
500008,AMAR RAJA BA,A ,Q,734.20,735.00,711.00,720.20,720.20,734.70,5015,66421,48096486.00,
500009,A.SARABHAI  ,B ,Q,5.17,5.48,5.17,5.28,5.27,5.22,88,10689,56926.00,
500010,HDFC        ,A ,Q,1130.00,1137.65,1113.00,1133.60,1133.60,1120.45,4257,59970,67743195.00,
500012,ANDHRA PETRO,B ,Q,8.92,9.29,8.92,9.01,9.00,9.09,170,41637,378615.00,
500013,ANSAL INFRAS,B ,Q,30.30,31.70,30.15,31.10,31.10,31.10,645,36442,1132575.00,
500014,APPLE FINANC,B ,Q,3.03,3.60,2.80,3.17,3.60,3.00,139,41094,127989.00,
500020,BOM DYEING  ,B ,Q,68.80,73.50,68.20,71.80,71.80,68.55,14555,1571554,112402812.00,
500023,ASIANHOTNR  ,B ,Q,118.00,125.00,118.00,123.60,122.95,121.15,39,879,108432.00,
500024,ASSAMCO     ,B ,Q,4.80,4.88,4.52,4.65,4.65,4.66,1446,296524,1387469.00,
500027,ATUL LTD.   ,A ,Q,1358.00,1365.00,1336.10,1350.15,1350.15,1346.85,641,3224,4353958.00,
500028,ATV PROJECTS,T ,Q,3.70,3.90,3.61,3.67,3.79,3.79,103,21646,79187.00,
500029,AUTOLITE(I) ,B ,Q,41.50,41.50,38.00,38.50,38.50,40.45,154,7775,310852.00,
500030,AUTORID.FIN ,B ,Q,1.16,1.16,1.16,1.16,1.16,1.22,12,7522,8725.00,
500031,BAJAJ ELECT.,A ,Q,230.50,230.50,214.00,216.05,216.05,229.80,7176,1007471,222743669.00,
500032,BAJAJHIND.LT,B ,Q,21.55,22.00,20.95,21.10,21.10,21.45,2922,577558,12308527.00,
500033,FORCE MOTR  ,B ,Q,1305.10,1328.00,1287.05,1293.65,1293.65,1311.50,7170,90914,118957232.00,
500034,BAJFINANCE  ,A ,Q,3130.00,3199.80,3066.00,3076.90,3076.90,3104.80,1565,5398,16867748.00,
500038,BALRAM.CHINI,A ,Q,65.50,65.50,61.50,61.95,61.95,65.40,3188,175170,11074329.00,
500039,BANCO PROD. ,B ,Q,174.40,184.00,174.10,176.00,176.00,174.95,8916,133252,23898045.00,
500040,CENTURY TEXT,A ,Q,556.00,562.50,551.10,553.80,553.80,555.05,2671,74554,41505098.00,
500041,BANNARI AMAN,B ,Q,1339.40,1350.00,1308.10,1328.30,1330.00,1376.05,50,114,151706.00,
500042,BASF INDIA  ,B ,Q,1245.55,1308.00,1233.50,1288.60,1288.60,1257.95,940,5738,7395535.00,
500043,BATA INDIA  ,A ,Q,1300.90,1314.45,1287.00,1293.85,1288.00,1303.25,889,11892,15423910.00,
500046,BEST&CROMPT.,Z ,Q,3.46,3.79,3.44,3.79,3.79,3.61,16,2235,7875.00,
500048,BEML LTD    ,A ,Q,709.85,727.00,704.15,707.10,707.10,706.55,3606,43236,30836855.00,
500049,BHARAT ELECT,A ,Q,2190.00,2237.00,2181.00,2186.00,2186.00,2198.70,1539,9650,21236058.00,
500051,BHAG GAS    ,Z ,Q,0.95,0.95,0.95,0.95,0.95,0.99,6,700,665.00,
