SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1099.00,1118.00,1091.20,1110.80,1110.80,1088.75,1006,7180,7940470.00,
500003,AEGIS LOGIS ,B ,Q,456.00,472.90,454.80,460.40,460.40,461.50,2811,21729,10062384.00,
500008,AMAR RAJA BA,A ,Q,767.00,767.75,743.10,750.60,750.60,772.80,2317,38084,28741303.00,
500009,A.SARABHAI  ,B ,Q,4.80,5.27,4.80,5.04,5.02,5.04,61,6941,35019.00,
500010,HDFC        ,A ,Q,1152.30,1177.00,1152.30,1160.10,1160.10,1152.30,4805,61492,71782159.00,
500012,ANDHRA PETRO,B ,Q,9.00,9.38,8.90,9.06,9.10,8.90,175,51702,474532.00,
500013,ANSAL INFRAS,B ,Q,31.50,32.15,31.05,31.25,31.25,31.30,354,32142,1017239.00,
500014,APPLE FINANC,B ,Q,2.94,3.18,2.90,3.18,3.18,3.08,113,71778,225328.00,
500020,BOM DYEING  ,B ,Q,69.30,70.85,68.85,69.05,69.05,68.85,3734,353142,24652757.00,
500023,ASIANHOTNR  ,B ,Q,118.00,118.75,116.10,118.75,118.75,118.40,15,993,115292.00,
500024,ASSAMCO     ,B ,Q,4.60,4.62,4.45,4.49,4.49,4.54,461,290220,1309317.00,
500027,ATUL LTD.   ,A ,Q,1280.00,1289.35,1254.00,1279.45,1269.50,1264.95,890,8801,11189728.00,
500028,ATV PROJECTS,T ,Q,3.38,3.69,3.38,3.43,3.43,3.52,75,10135,36467.00,
500029,AUTOLITE(I) ,B ,Q,35.20,37.40,35.20,36.35,37.00,36.30,71,3213,116188.00,
500030,AUTORID.FIN ,B ,Q,1.04,1.04,0.96,0.96,0.96,1.01,19,6804,6728.00,
500031,BAJAJ ELECT.,A ,Q,203.00,209.25,201.05,204.25,204.25,204.05,3347,106991,22079733.00,
500032,BAJAJHIND.LT,B ,Q,21.60,21.65,20.55,20.70,20.70,20.90,2914,635184,13426356.00,
500033,FORCE MOTR  ,B ,Q,1286.25,1293.30,1253.75,1261.00,1261.00,1277.05,6499,84601,107867471.00,
