SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1071.80,1129.00,1071.80,1118.75,1118.75,1071.80,2091,12418,13716670.00,
500003,AEGIS LOGIS ,B ,Q,368.90,374.80,363.80,371.60,370.00,368.90,782,4339,1614077.00,
500008,AMAR RAJA BA,A ,Q,700.00,720.00,696.00,703.65,703.65,695.25,14468,221145,156944229.00,
500009,A.SARABHAI  ,B ,Q,5.66,5.98,5.63,5.63,5.63,5.92,119,17157,96971.00,
500010,HDFC        ,A ,Q,1110.00,1130.00,1110.00,1124.45,1124.45,1112.30,4222,67612,75803637.00,
500012,ANDHRA PETRO,B ,Q,9.65,9.95,9.40,9.43,9.48,9.74,133,27407,265273.00,
500013,ANSAL INFRAS,B ,Q,31.50,31.95,31.00,31.20,31.15,31.10,367,23364,731931.00,
500014,APPLE FINANC,B ,Q,3.19,3.19,2.60,2.82,2.99,2.70,176,35042,99495.00,
500020,BOM DYEING  ,B ,Q,72.80,72.80,70.50,71.30,71.30,72.65,3355,316656,22637789.00,
500023,ASIANHOTNR  ,B ,Q,116.10,121.85,116.00,119.05,121.85,119.85,57,2909,344136.00,
500024,ASSAMCO     ,B ,Q,4.47,4.58,4.41,4.49,4.49,4.51,1156,283007,1268766.00,
500027,ATUL LTD.   ,A ,Q,1325.00,1368.65,1325.00,1334.85,1334.85,1323.35,971,15480,20734548.00,
500028,ATV PROJECTS,T ,Q,3.32,3.50,3.31,3.42,3.33,3.47,45,5885,20152.00,
500029,AUTOLITE(I) ,B ,Q,36.30,38.80,34.00,37.15,37.05,37.20,573,19270,706750.00,
500030,AUTORID.FIN ,B ,Q,1.71,1.71,1.71,1.71,1.71,1.80,3,101,172.00,
500031,BAJAJ ELECT.,A ,Q,287.50,287.50,275.00,276.00,276.00,287.50,2972,55158,15315271.00,
500032,BAJAJHIND.LT,B ,Q,19.25,19.95,19.15,19.35,19.35,19.20,1354,346847,6749752.00,
500033,FORCE MOTR  ,B ,Q,1270.00,1293.00,1255.35,1262.65,1262.65,1263.70,7212,94035,119637738.00,
500034,BAJFINANCE  ,A ,Q,2887.60,2930.00,2870.20,2898.45,2902.00,2876.85,676,5609,16253217.00,
500038,BALRAM.CHINI,A ,Q,55.00,55.95,54.30,54.85,54.30,55.00,1192,87123,4792046.00,
500039,BANCO PROD. ,B ,Q,163.80,165.40,160.10,161.25,161.25,163.90,634,20282,3320756.00,
500040,CENTURY TEXT,A ,Q,581.10,590.35,570.65,583.20,583.20,581.15,3350,73660,42731861.00,
500041,BANNARI AMAN,B ,Q,1300.00,1359.90,1300.00,1330.05,1315.00,1280.05,78,189,251056.00,
500042,BASF INDIA  ,B ,Q,1198.60,1218.00,1186.00,1193.15,1187.05,1190.25,634,3425,4098832.00,
500043,BATA INDIA  ,A ,Q,1242.00,1256.00,1235.10,1251.85,1251.85,1237.55,1151,13854,17268555.00,
500046,BEST&CROMPT.,Z ,Q,4.18,4.58,4.18,4.18,4.18,4.39,43,11644,49872.00,
500048,BEML LTD    ,A ,Q,732.20,758.70,730.00,740.70,740.70,728.80,13507,193029,144186650.00,
500049,BHARAT ELECT,A ,Q,2280.00,2350.00,2280.00,2294.05,2294.05,2274.90,2747,13279,30605565.00,
500052,BHANSALI ENG,B ,Q,15.50,15.70,15.00,15.05,15.00,15.15,31,9474,142967.00,
500055,BHUSH STEEL ,A ,Q,112.00,114.70,108.80,109.55,109.55,109.65,2573,92351,10281897.00,
500057,ABCIL       ,B ,Q,258.00,258.00,251.00,253.10,253.00,255.45,982,14257,3599647.00,
500058,BIHAR SPONGE,T ,Q,3.26,3.40,3.09,3.12,3.30,3.25,90,26663,84866.00,
500059,BINANI IND. ,B ,Q,114.45,114.45,110.50,111.50,111.50,112.60,708,29972,3365355.00,
500060,BIRLA ERIC. ,T ,Q,76.95,76.95,76.95,76.95,76.95,80.95,53,2288,176061.00,
500067,BLUE STAR   ,B ,Q,354.50,365.60,353.65,355.45,354.00,351.50,2373,26699,9644960.00,
500068,DISA INDIA  ,B ,Q,3826.00,3850.00,3656.00,3711.15,3711.15,3690.10,69,193,726683.00,
500069,BNK CAPITAL ,B ,Q,35.95,35.95,35.95,35.95,35.95,35.25,2,10,359.00,
500074,BPL LTD.    ,B ,Q,23.50,25.30,23.40,24.40,24.40,22.60,4032,445356,10787795.00,
500078,CAMPH.& ALL ,B ,Q,385.00,389.35,365.05,372.55,370.50,384.90,113,1577,597106.00,
500083,CENTURY EXT ,B ,Q,1.90,2.10,1.90,2.09,2.10,1.94,585,58168,118682.00,
500084,CESC LTD.   ,A ,Q,665.00,689.50,662.00,686.40,686.40,664.20,2482,40776,27774143.00,
500085,CHAMBAL FERT,B ,Q,66.10,68.70,65.00,68.20,68.20,65.25,6075,386217,26042369.00,
500086,EXIDE IND.  ,A ,Q,163.50,164.70,161.65,163.65,163.65,162.95,2565,126031,20597345.00,
500087,CIPLA LTD.  ,A ,Q,645.00,651.40,634.30,638.05,638.05,643.10,3652,179018,114474157.00,
500089,DIC INDIA   ,B ,Q,412.20,419.00,410.65,414.90,414.90,414.65,162,1777,732774.00,
500092,CRISIL LTD  ,A ,Q,1925.00,1940.00,1894.85,1909.75,1909.75,1918.45,517,1355,2607606.00,
500093,CROMPT.GREAV,A ,Q,193.90,198.05,192.00,195.80,195.80,192.85,10794,665762,130300290.00,
500095,WYETH LTD.  ,B ,Q,1140.15,1143.80,1128.00,1129.95,1129.95,1125.45,132,936,1059929.00,
500096,DABUR (I)   ,A ,Q,226.60,229.30,225.65,228.45,228.45,226.70,1114,36654,8350129.00,
500097,DALMIASUG   ,B ,Q,22.90,22.90,21.65,22.60,22.65,22.75,177,9083,203271.00,
500101,ARVIND Ltd  ,A ,Q,290.05,295.00,282.65,285.15,285.15,289.75,8337,355120,102183879.00,
500102,BALARPUR IND,B ,Q,19.00,19.10,18.30,18.50,18.50,19.10,1768,480188,8960538.00,
500103,BHEL        ,A ,Q,248.65,250.00,242.50,245.05,245.05,251.10,8711,427677,104773617.00,
500104,HIND.PETRO  ,A ,Q,581.00,585.10,572.30,575.60,575.60,577.95,6890,337540,194893592.00,
500106,IFCI LTD    ,A ,Q,39.20,39.75,37.65,39.10,39.10,38.95,9442,2298819,89167123.00,
500108,MAHA.TELE   ,B ,Q,30.35,30.75,29.80,30.15,30.15,30.25,1818,368087,11104126.00,
500109,MRPL        ,A ,Q,64.20,64.20,61.90,62.15,62.15,63.70,2494,219722,13804418.00,
500110,CHENNAI PET.,B ,Q,94.50,96.00,93.15,93.45,93.45,94.20,1313,75571,7120969.00,
500111,REL.CAP.    ,A ,Q,468.15,475.80,458.65,474.25,474.25,468.40,22029,655393,307673408.00,
500112,STATE BANK  ,A ,Q,2739.00,2762.00,2708.10,2737.55,2737.55,2735.20,19539,249081,680872453.00,
500113,STEEL AUTH. ,A ,Q,83.05,83.45,81.95,82.65,82.65,83.05,3162,488874,40325542.00,
500114,TITAN       ,A ,Q,379.05,381.30,372.40,373.05,373.05,378.75,3916,114129,42952955.00,
500116,IDBI BANK L ,A ,Q,69.60,72.75,69.35,72.45,72.45,69.60,5114,441057,31203128.00,
500117,DCW LTD.    ,B ,Q,24.00,24.05,23.25,23.50,23.50,23.80,1365,324909,7660204.00,
500119,DHAMPUR SUGA,B ,Q,45.70,47.00,45.70,45.95,45.95,45.70,223,18592,858384.00,
