SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1164.15,1177.65,1137.00,1172.90,1172.90,1164.15,1840,8998,10523141.00,
500003,AEGIS LOGIS ,B ,Q,352.05,373.30,351.00,363.60,361.10,351.45,1559,24870,9088724.00,
500008,AMAR RAJA BA,A ,Q,651.00,655.00,642.10,649.00,649.00,651.40,696,6061,3917109.00,
500009,A.SARABHAI  ,B ,Q,4.80,5.22,4.80,5.22,5.22,4.98,77,8336,43232.00,
500010,HDFC        ,A ,Q,1040.00,1066.50,1040.00,1062.10,1062.10,1046.95,4818,82792,87678623.00,
500012,ANDHRA PETRO,B ,Q,9.50,9.60,9.00,9.30,9.30,9.48,275,109664,1019446.00,
500013,ANSAL INFRAS,B ,Q,32.90,33.70,31.70,32.30,32.30,31.95,1092,86594,2842262.00,
500014,APPLE FINANC,B ,Q,3.11,3.11,2.57,2.64,2.60,2.85,71,58395,154505.00,
500020,BOM DYEING  ,B ,Q,66.30,66.70,65.70,66.05,66.05,66.15,2424,200642,13270816.00,
500023,ASIANHOTNR  ,B ,Q,125.25,129.95,125.25,127.00,127.00,127.00,18,2110,269783.00,
500024,ASSAMCO     ,B ,Q,4.54,4.54,4.42,4.44,4.44,4.44,640,86846,386344.00,
500027,ATUL LTD.   ,A ,Q,1210.65,1288.10,1207.20,1259.85,1259.85,1211.75,2502,24054,30232251.00,
500028,ATV PROJECTS,T ,Q,2.83,2.92,2.82,2.91,2.91,2.93,47,92254,269336.00,
500029,AUTOLITE(I) ,B ,Q,27.30,27.30,26.35,27.25,27.25,27.15,50,27548,743924.00,
500031,BAJAJ ELECT.,A ,Q,281.40,283.90,278.85,282.35,282.30,282.45,459,7406,2083005.00,
500032,BAJAJHIND.LT,B ,Q,19.20,19.75,19.05,19.30,19.30,19.40,1513,227584,4420852.00,
500033,FORCE MOTR  ,B ,Q,1315.00,1344.60,1305.10,1328.45,1328.45,1324.00,8802,139013,184569472.00,
500034,BAJFINANCE  ,A ,Q,2750.00,2809.60,2750.00,2787.00,2790.00,2754.35,210,533,1486081.00,
