SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1168.75,1177.15,1136.95,1147.05,1147.05,1166.75,1876,12103,13878419.00,
500003,AEGIS LOGIS ,B ,Q,368.05,373.05,368.05,371.45,371.45,370.40,591,6884,2554079.00,
500008,AMAR RAJA BA,A ,Q,658.00,661.35,640.10,643.80,643.80,652.70,690,6464,4193056.00,
500009,A.SARABHAI  ,B ,Q,5.75,5.75,5.51,5.75,5.75,5.48,120,28361,162763.00,
500010,HDFC        ,A ,Q,1101.00,1121.95,1095.60,1117.50,1117.50,1105.95,4924,81132,89874495.00,
500012,ANDHRA PETRO,B ,Q,9.20,9.50,9.16,9.28,9.28,9.11,145,25010,233634.00,
500013,ANSAL INFRAS,B ,Q,32.65,34.00,32.20,33.25,33.25,32.45,474,41379,1378861.00,
500014,APPLE FINANC,B ,Q,2.32,2.63,2.32,2.48,2.63,2.42,71,18022,44360.00,
500020,BOM DYEING  ,B ,Q,67.15,69.20,66.65,68.40,68.40,66.75,5010,450885,30739577.00,
500023,ASIANHOTNR  ,B ,Q,129.95,130.00,126.05,129.95,129.95,131.90,80,5103,663062.00,
500024,ASSAMCO     ,B ,Q,4.62,4.85,4.50,4.77,4.81,4.55,1562,455261,2154007.00,
500027,ATUL LTD.   ,A ,Q,1278.00,1340.00,1265.00,1329.05,1329.05,1274.20,2585,14589,19126144.00,
500028,ATV PROJECTS,T ,Q,3.11,3.15,3.00,3.15,3.15,3.00,46,7005,21591.00,
500029,AUTOLITE(I) ,B ,Q,26.65,28.25,26.00,27.80,27.80,27.35,342,21582,588786.00,
500030,AUTORID.FIN ,B ,Q,1.95,1.95,1.80,1.80,1.80,2.00,7,302,558.00,
500031,BAJAJ ELECT.,A ,Q,283.40,285.95,280.35,283.20,283.20,283.55,862,14324,4053973.00,
500032,BAJAJHIND.LT,B ,Q,19.45,20.20,19.45,19.90,19.90,19.45,1452,385224,7676811.00,
500033,FORCE MOTR  ,B ,Q,1318.00,1327.80,1285.20,1298.40,1298.40,1307.75,9352,111684,146158272.00,
500034,BAJFINANCE  ,A ,Q,2780.00,2806.40,2740.00,2778.60,2780.00,2798.50,671,2734,7579956.00,
500038,BALRAM.CHINI,A ,Q,55.00,55.95,53.90,55.65,55.65,55.00,1928,142323,7850498.00,
500039,BANCO PROD. ,B ,Q,157.20,165.50,154.00,158.35,158.35,165.50,1989,68006,10721034.00,
500040,CENTURY TEXT,A ,Q,556.00,588.00,550.10,584.90,584.90,555.60,10139,263839,152039094.00,
500041,BANNARI AMAN,B ,Q,1270.10,1310.70,1270.00,1299.80,1310.70,1297.65,24,193,248923.00,
500042,BASF INDIA  ,B ,Q,1207.60,1242.00,1200.00,1218.10,1218.10,1213.95,739,2754,3367558.00,
500043,BATA INDIA  ,A ,Q,1278.00,1294.90,1272.00,1281.15,1281.15,1272.05,1075,9658,12372376.00,
500046,BEST&CROMPT.,Z ,Q,4.22,4.50,4.22,4.50,4.50,4.44,18,3950,17747.00,
500048,BEML LTD    ,A ,Q,680.20,691.10,670.65,678.60,678.60,675.65,6006,74638,50862664.00,
500049,BHARAT ELECT,A ,Q,2089.00,2108.10,2075.00,2090.05,2087.50,2077.35,983,5463,11425326.00,
500051,BHAG GAS    ,Z ,Q,1.00,1.03,0.98,0.98,0.98,1.03,8,800,808.00,
500052,BHANSALI ENG,B ,Q,15.90,15.90,15.00,15.05,15.80,15.20,20,158,2468.00,
500055,BHUSH STEEL ,A ,Q,106.90,107.80,105.50,106.25,106.25,106.05,1020,46052,4903479.00,
500057,ABCIL       ,B ,Q,264.10,272.30,261.75,266.20,266.20,259.95,624,8757,2337400.00,
500058,BIHAR SPONGE,T ,Q,2.98,3.10,2.98,3.06,3.00,2.96,48,11580,35719.00,
500059,BINANI IND. ,B ,Q,118.40,119.30,117.00,117.40,117.40,116.85,452,14038,1651317.00,
500060,BIRLA ERIC. ,T ,Q,84.50,84.50,81.00,81.75,81.75,83.15,358,29940,2475349.00,
500067,BLUE STAR   ,B ,Q,338.00,353.55,338.00,342.85,342.65,338.60,890,13872,4822416.00,
500068,DISA INDIA  ,B ,Q,3555.00,3900.00,3555.00,3685.50,3685.50,3718.80,18,11,41152.00,
500069,BNK CAPITAL ,B ,Q,41.20,41.20,36.05,37.60,38.90,37.10,43,195,7333.00,
500074,BPL LTD.    ,B ,Q,19.90,21.00,19.60,20.60,20.60,19.95,623,52730,1067611.00,
500078,CAMPH.& ALL ,B ,Q,352.05,373.00,352.00,364.50,364.75,352.20,110,1690,617002.00,
500083,CENTURY EXT ,B ,Q,2.08,2.08,1.84,1.92,1.93,1.89,463,15957,29882.00,
500084,CESC LTD.   ,A ,Q,684.40,692.00,676.25,685.00,685.00,678.30,1936,26942,18473590.00,
500085,CHAMBAL FERT,B ,Q,61.90,63.60,61.90,62.95,62.95,61.60,1642,127449,8006456.00,
500086,EXIDE IND.  ,A ,Q,158.90,161.30,157.60,159.90,159.90,157.90,3269,186796,29875007.00,
500087,CIPLA LTD.  ,A ,Q,670.00,670.00,659.50,662.95,662.95,667.10,3255,98909,65635367.00,
500089,DIC INDIA   ,B ,Q,416.90,429.00,413.45,423.95,423.95,413.60,302,3098,1302853.00,
500092,CRISIL LTD  ,A ,Q,1824.25,1835.00,1805.10,1808.80,1805.50,1820.05,502,1629,2964428.00,
500093,CROMPT.GREAV,A ,Q,188.00,194.00,186.10,192.60,192.60,187.65,10167,581995,111281842.00,
500095,WYETH LTD.  ,B ,Q,1120.00,1149.00,1110.05,1125.70,1142.00,1086.65,1084,6625,7480883.00,
500096,DABUR (I)   ,A ,Q,228.05,232.65,223.25,230.00,230.00,225.90,9455,386508,88535836.00,
500097,DALMIASUG   ,B ,Q,22.30,22.40,21.10,21.85,22.00,21.80,106,7682,167119.00,
500101,ARVIND Ltd  ,A ,Q,300.75,304.05,297.30,300.60,300.60,298.25,8573,361959,109017920.00,
500102,BALARPUR IND,B ,Q,17.20,18.15,17.05,17.80,17.80,17.10,2053,615137,10962931.00,
500103,BHEL        ,A ,Q,257.70,258.00,251.40,253.00,253.00,255.75,8819,397326,100683724.00,
500104,HIND.PETRO  ,A ,Q,533.80,542.95,530.35,536.00,536.00,529.65,8249,150802,81006802.00,
500106,IFCI LTD    ,A ,Q,36.85,38.40,36.70,38.25,38.25,36.80,6320,1367695,51554265.00,
500108,MAHA.TELE   ,B ,Q,29.80,30.70,29.45,30.10,30.10,29.75,3864,629706,18964192.00,
500109,MRPL        ,A ,Q,59.65,59.85,58.95,59.30,59.30,58.95,1679,114471,6798737.00,
500110,CHENNAI PET.,B ,Q,103.00,104.25,102.35,103.15,103.15,102.25,2750,171433,17714173.00,
500111,REL.CAP.    ,A ,Q,479.20,495.80,476.10,490.40,490.40,474.90,24204,717463,350578965.00,
500112,STATE BANK  ,A ,Q,2705.00,2743.00,2695.00,2721.25,2721.25,2701.65,22631,282471,769611067.00,
500113,STEEL AUTH. ,A ,Q,83.90,87.90,83.45,86.75,86.75,83.10,7796,808876,69912823.00,
500114,TITAN       ,A ,Q,395.00,395.75,381.10,382.50,382.50,393.20,9489,322159,124150519.00,
500116,IDBI BANK L ,A ,Q,71.00,72.70,70.00,72.25,72.25,70.55,5398,468523,33601247.00,
500117,DCW LTD.    ,B ,Q,24.30,25.55,24.25,25.10,25.10,24.20,2720,540773,13511576.00,
500119,DHAMPUR SUGA,B ,Q,47.00,48.50,46.35,48.05,48.05,47.40,576,24457,1168753.00,
500120,DIAMINES&CHM,B ,Q,40.00,41.00,38.30,39.60,39.60,40.35,127,16657,671474.00,
500123,ELANTAS     ,B ,Q,875.00,875.00,865.00,869.70,865.05,868.50,145,2285,1990319.00,
500124,DR.REDDY'S  ,A ,Q,3176.00,3260.00,3172.75,3180.85,3180.85,3161.70,3138,20956,67023377.00,
500125,E.I.D.PAR   ,A ,Q,218.60,220.10,218.00,219.15,219.15,219.80,385,3670,804250.00,
500126,MERCK LTD   ,B ,Q,811.50,823.85,811.50,818.25,818.25,817.30,644,4020,3296160.00,
500128,ELEC.CASTING,B ,Q,19.00,20.30,19.00,20.00,20.00,18.90,2034,350799,6915670.00,
500132,EMPEE SUGARS,B ,Q,4.45,4.45,3.85,4.15,4.15,4.10,54,19467,78495.00,
500133,ESAB INDIA  ,B ,Q,669.95,682.00,664.95,675.70,680.00,661.70,144,876,590547.00,
500134,ESSAR OIL   ,A ,Q,122.00,122.65,121.00,122.00,122.00,120.95,1042,474955,57936727.00,
500135,ESSEL PROP  ,B ,Q,114.00,115.30,113.25,114.80,114.80,114.50,524,18630,2135837.00,
500136,ESTER INDUS.,B ,Q,24.90,25.40,24.50,25.40,25.40,24.20,129,19986,504763.00,
500139,FEDDER.LLYOD,B ,Q,73.00,73.70,72.00,73.20,73.10,72.15,551,29067,2117131.00,
500141,FERRO ALLOYS,B ,Q,8.02,8.50,7.80,8.07,8.07,7.97,385,174920,1420548.00,
500142,FGP LTD.    ,B ,Q,3.26,3.26,3.26,3.26,3.26,3.62,5,1560,5085.00,
500144,FINOL. CABLE,A ,Q,225.00,236.15,224.10,233.80,233.80,224.30,2393,50518,11640564.00,
500145,FIRST LEASIN,Z ,Q,5.78,5.78,5.24,5.71,5.40,5.51,34,3150,17489.00,
500147,CMI FPE     ,B ,Q,516.20,535.00,516.20,523.30,523.30,516.20,105,577,303894.00,
500148,UFLEX LTD   ,B ,Q,160.75,167.75,158.00,165.25,165.25,159.05,3552,120140,19591900.00,
500150,FOSECO INDIA,B ,Q,958.40,960.00,940.00,955.60,951.00,949.75,72,823,781348.00,
500151,GOLDEN TOB  ,B ,Q,28.50,33.05,28.50,33.05,33.05,27.55,625,85514,2769674.00,
