SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1124.00,1129.25,1077.00,1085.05,1085.05,1120.65,3211,20161,21910004.00,
500003,AEGIS LOGIS ,B ,Q,373.00,377.50,365.40,367.15,367.10,372.45,435,2143,791521.00,
500008,AMAR RAJA BA,A ,Q,652.00,669.80,646.95,663.65,663.65,649.45,1607,18299,12089732.00,
500009,A.SARABHAI  ,B ,Q,5.50,5.99,5.50,5.80,5.58,5.78,127,15841,89195.00,
500010,HDFC        ,A ,Q,1107.00,1107.00,1086.70,1101.15,1101.15,1101.45,2324,34090,37430242.00,
500012,ANDHRA PETRO,B ,Q,10.75,10.75,9.49,10.08,10.08,9.87,511,132188,1314643.00,
500013,ANSAL INFRAS,B ,Q,32.95,33.20,32.05,32.45,32.65,32.60,319,18425,596957.00,
500014,APPLE FINANC,B ,Q,2.51,2.80,2.43,2.78,2.78,2.69,135,65808,171348.00,
500020,BOM DYEING  ,B ,Q,73.50,74.00,70.50,70.95,70.95,72.40,9624,919134,66520028.00,
500023,ASIANHOTNR  ,B ,Q,125.00,125.00,124.00,124.25,125.00,124.05,9,330,41150.00,
500024,ASSAMCO     ,B ,Q,4.85,4.85,4.54,4.57,4.57,4.68,840,149525,685232.00,
500027,ATUL LTD.   ,A ,Q,1337.00,1356.35,1313.90,1322.85,1316.20,1337.95,900,7465,9949422.00,
500028,ATV PROJECTS,T ,Q,3.46,3.46,3.20,3.31,3.31,3.30,46,6459,21876.00,
500029,AUTOLITE(I) ,B ,Q,27.55,33.20,27.50,33.20,33.20,27.70,390,35170,1096167.00,
500031,BAJAJ ELECT.,A ,Q,286.65,295.00,286.35,293.70,293.00,286.45,3622,95127,27866655.00,
500032,BAJAJHIND.LT,B ,Q,20.75,20.85,19.85,19.95,19.95,20.55,1718,276323,5563172.00,
500033,FORCE MOTR  ,B ,Q,1279.95,1288.70,1242.50,1253.45,1253.45,1272.95,8996,118712,149589743.00,
500034,BAJFINANCE  ,A ,Q,2850.00,2978.00,2845.00,2891.50,2891.50,2857.80,1896,5332,15509483.00,
500038,BALRAM.CHINI,A ,Q,57.05,58.05,55.15,55.85,55.85,56.90,2424,150624,8511255.00,
500039,BANCO PROD. ,B ,Q,163.00,163.60,158.50,159.60,158.70,162.60,1031,126101,20180337.00,
500040,CENTURY TEXT,A ,Q,596.00,598.10,580.50,587.25,587.00,596.10,2638,67056,39468063.00,
500041,BANNARI AMAN,B ,Q,1260.00,1289.00,1250.00,1255.00,1255.00,1277.20,219,693,872503.00,
500042,BASF INDIA  ,B ,Q,1221.10,1221.10,1197.00,1200.55,1200.55,1209.20,518,2765,3327596.00,
500043,BATA INDIA  ,A ,Q,1255.00,1262.75,1226.00,1244.15,1244.15,1273.60,1632,12603,15654839.00,
500046,BEST&CROMPT.,Z ,Q,4.95,4.95,4.53,4.53,4.53,4.72,20,3475,16540.00,
500048,BEML LTD    ,A ,Q,673.00,686.70,660.10,681.25,681.25,671.70,4471,71277,48234848.00,
500049,BHARAT ELECT,A ,Q,2080.00,2266.00,2077.00,2231.55,2231.55,2066.20,13879,89425,197283287.00,
500051,BHAG GAS    ,Z ,Q,0.97,1.07,0.97,0.97,0.97,1.02,13,1796,1774.00,
500052,BHANSALI ENG,B ,Q,16.70,16.70,15.50,15.60,15.50,15.80,17,394,6141.00,
500055,BHUSH STEEL ,A ,Q,120.15,121.00,111.00,111.85,111.85,116.85,4830,198868,22833785.00,
500057,ABCIL       ,B ,Q,274.75,274.90,260.00,266.20,266.20,270.30,814,13485,3585346.00,
500058,BIHAR SPONGE,T ,Q,3.01,3.21,3.00,3.18,3.21,3.06,50,7160,22474.00,
500059,BINANI IND. ,B ,Q,117.85,119.00,116.90,117.30,117.30,117.75,469,20515,2410996.00,
500060,BIRLA ERIC. ,T ,Q,81.60,84.00,81.60,83.35,83.00,83.10,190,22687,1885469.00,
500067,BLUE STAR   ,B ,Q,347.00,370.00,345.20,353.85,353.85,345.10,3369,34139,12385099.00,
500068,DISA INDIA  ,B ,Q,3725.00,3730.00,3620.00,3629.85,3620.00,3700.00,46,50,182935.00,
500069,BNK CAPITAL ,B ,Q,37.00,38.95,36.05,37.05,36.90,36.10,43,1227,45234.00,
500074,BPL LTD.    ,B ,Q,20.05,21.65,19.85,20.85,20.85,20.80,629,67318,1404560.00,
500078,CAMPH.& ALL ,B ,Q,380.00,388.65,376.00,383.15,383.15,380.35,178,5896,2270676.00,
500083,CENTURY EXT ,B ,Q,2.05,2.05,1.88,1.89,1.95,2.00,533,23728,45678.00,
500084,CESC LTD.   ,A ,Q,696.05,696.70,682.90,688.70,688.00,690.80,1098,12341,8520676.00,
500085,CHAMBAL FERT,B ,Q,65.50,70.00,62.80,64.90,64.90,65.10,7602,684615,45468770.00,
500086,EXIDE IND.  ,A ,Q,160.00,163.35,159.70,160.75,160.75,159.90,2939,190257,30743980.00,
500087,CIPLA LTD.  ,A ,Q,667.00,667.40,648.00,650.65,650.65,657.60,4779,120077,79148592.00,
500089,DIC INDIA   ,B ,Q,430.05,442.00,418.90,422.65,422.65,435.60,441,5866,2502329.00,
500092,CRISIL LTD  ,A ,Q,1822.00,1904.95,1805.00,1889.85,1889.85,1818.30,1409,4326,8095954.00,
500093,CROMPT.GREAV,A ,Q,191.75,193.00,185.65,187.60,187.60,191.75,8298,336565,63246811.00,
500095,WYETH LTD.  ,B ,Q,1130.00,1145.00,1108.30,1131.95,1129.50,1151.45,968,6264,7064458.00,
500096,DABUR (I)   ,A ,Q,225.95,230.30,225.95,227.60,227.60,225.85,1592,64703,14748788.00,
500097,DALMIASUG   ,B ,Q,22.15,22.90,21.60,22.15,22.30,22.45,125,8433,188355.00,
500101,ARVIND Ltd  ,A ,Q,310.00,313.25,296.10,298.90,298.90,308.40,22760,911021,276156168.00,
500102,BALARPUR IND,B ,Q,18.25,18.90,17.95,18.55,18.55,18.55,2189,685730,12621708.00,
500103,BHEL        ,A ,Q,256.75,261.50,248.10,249.10,249.10,257.35,10548,508576,129388265.00,
500104,HIND.PETRO  ,A ,Q,549.00,582.40,547.10,572.30,572.30,546.00,14287,366040,208546203.00,
500106,IFCI LTD    ,A ,Q,39.95,39.95,38.35,38.65,38.65,39.80,4110,1056529,41102636.00,
500108,MAHA.TELE   ,B ,Q,31.00,31.50,30.45,30.60,30.60,31.10,3063,477376,14755166.00,
500109,MRPL        ,A ,Q,58.75,61.60,58.30,61.25,61.25,58.90,6140,564046,34013903.00,
500110,CHENNAI PET.,B ,Q,95.00,96.50,93.10,94.25,94.25,95.25,3995,200925,19058768.00,
500111,REL.CAP.    ,A ,Q,481.00,481.70,465.75,467.95,467.95,482.55,19371,661693,312962843.00,
500112,STATE BANK  ,A ,Q,2780.00,2780.90,2729.90,2742.35,2742.35,2782.25,17213,216852,595915145.00,
500113,STEEL AUTH. ,A ,Q,84.55,85.90,83.00,83.40,83.40,84.55,3467,384609,32441560.00,
500114,TITAN       ,A ,Q,376.15,381.30,371.45,378.25,378.25,376.15,4984,162921,61680607.00,
500116,IDBI BANK L ,A ,Q,71.05,71.40,68.90,70.35,70.35,71.40,4087,387956,27227957.00,
500117,DCW LTD.    ,B ,Q,24.95,24.95,24.05,24.20,24.20,24.70,870,185914,4516990.00,
500119,DHAMPUR SUGA,B ,Q,50.30,50.50,47.45,47.70,47.50,49.50,297,10604,519183.00,
500120,DIAMINES&CHM,B ,Q,40.50,44.50,36.10,36.75,36.75,40.00,249,18669,716486.00,
500123,ELANTAS     ,B ,Q,865.50,865.50,835.00,853.70,853.70,866.60,175,2176,1869006.00,
500124,DR.REDDY'S  ,A ,Q,3269.00,3455.00,3250.00,3397.15,3400.00,3253.20,8725,61086,206429391.00,
500125,E.I.D.PAR   ,A ,Q,230.00,235.05,220.20,221.30,221.30,219.40,3191,82808,18595064.00,
500126,MERCK LTD   ,B ,Q,836.90,839.95,820.00,824.85,824.85,829.20,592,2967,2449966.00,
500128,ELEC.CASTING,B ,Q,20.25,20.40,19.55,19.80,19.80,20.20,911,127828,2542814.00,
500132,EMPEE SUGARS,B ,Q,4.79,4.79,4.15,4.50,4.50,4.35,74,25100,112137.00,
500133,ESAB INDIA  ,B ,Q,660.00,660.90,625.00,637.80,637.80,666.70,491,3823,2447771.00,
500134,ESSAR OIL   ,A ,Q,122.25,123.90,122.25,123.15,123.15,120.70,1853,81131,9979699.00,
500135,ESSEL PROP  ,B ,Q,122.00,123.00,117.00,117.65,117.65,113.85,2366,96837,11544949.00,
500136,ESTER INDUS.,B ,Q,27.50,27.95,26.50,26.65,26.65,26.65,357,49347,1353251.00,
500139,FEDDER.LLYOD,B ,Q,73.50,73.60,71.00,71.30,71.30,73.10,402,23987,1730054.00,
500141,FERRO ALLOYS,B ,Q,8.39,8.39,7.65,7.95,7.99,7.99,133,51550,408688.00,
500142,FGP LTD.    ,B ,Q,2.94,3.00,2.94,2.94,2.94,2.94,8,772,2280.00,
500144,FINOL. CABLE,A ,Q,243.50,247.50,237.30,245.15,245.15,242.15,3011,65280,15933754.00,
500147,CMI FPE     ,B ,Q,506.05,529.50,506.05,521.30,521.00,515.40,97,1399,732521.00,
500148,UFLEX LTD   ,B ,Q,163.10,165.40,162.10,164.05,164.05,163.30,1657,68619,11235850.00,
500150,FOSECO INDIA,B ,Q,976.50,976.50,945.00,954.10,955.00,955.20,57,392,377985.00,
500151,GOLDEN TOB  ,B ,Q,38.50,39.95,38.40,39.95,39.95,36.35,211,45376,1788627.00,
500153,GANESH BENZO,B ,Q,6.00,6.00,5.80,5.90,5.90,6.10,8,481,2819.00,
500155,GARDEN SILK ,B ,Q,38.15,38.35,37.70,37.90,38.15,38.60,79,3870,146750.00,
500159,METROGLOBL  ,B ,Q,63.00,63.90,54.45,55.50,55.50,59.95,48,3093,177010.00,
500160,GTL LTD.    ,B ,Q,22.75,23.05,22.10,22.30,22.30,22.70,909,119491,2688557.00,
500162,PARRYSUGR   ,B ,Q,21.75,21.75,21.75,21.75,21.75,22.15,2,3,65.00,
500163,GODFREY PH  ,B ,Q,3032.00,3113.30,3032.00,3090.15,3090.00,3079.90,303,643,1984519.00,
500164,GODREJ IND  ,A ,Q,307.65,308.30,300.60,304.70,304.70,306.15,833,21713,6610821.00,
500165,KANSAI NERO ,B ,Q,1923.00,1926.00,1898.10,1905.40,1903.00,1920.60,417,6071,11560261.00,
500166,GOODRICKE   ,B ,Q,174.00,174.00,169.30,171.05,170.00,174.40,243,11618,1989883.00,
500168,GOODYEAR (I),B ,Q,652.00,664.95,635.00,637.35,637.35,658.30,1039,13744,8847081.00,
500170,GTN INDUS   ,B ,Q,13.60,13.60,13.60,13.60,13.60,13.70,2,9,122.00,
500171,GHCL LTD    ,B ,Q,85.95,86.95,83.55,83.95,83.95,86.50,643,30895,2601473.00,
500173,GUJ.FLOURO  ,B ,Q,786.95,797.45,766.10,776.75,776.75,786.90,757,5227,4108722.00,
500174,GUJ.LEASE   ,B ,Q,2.42,2.50,2.42,2.50,2.50,2.50,16,10679,26176.00,
500179,HCL INFOSYS ,B ,Q,76.00,76.70,73.30,73.60,73.60,76.10,3420,357654,26593777.00,
500180,HDFC BANK   ,A ,Q,908.00,908.00,894.00,899.00,899.00,912.75,5110,192361,173028682.00,
500182,HEROMOTOCO  ,A ,Q,2927.90,2927.90,2875.00,2898.50,2898.50,2957.35,31658,564758,1636124632.00,
500183,HIMACHAL FUT,B ,Q,20.50,21.65,20.35,21.20,21.20,20.05,15050,6417837,135213125.00,
500184,HIMADRI CHEM,B ,Q,30.65,33.55,29.00,31.85,31.65,30.95,1352,86769,2752173.00,
500185,HIND.CONSTN.,A ,Q,34.80,35.20,33.05,33.25,33.25,34.75,5506,1178202,39762244.00,
500186,HIND.OIL EXP,B ,Q,52.00,53.40,51.25,52.40,52.40,51.45,10249,878593,45977914.00,
500187,HSIL        ,B ,Q,382.90,383.95,373.20,374.50,374.50,382.80,753,8063,3036261.00,
500188,HINDUS.ZI   ,A ,Q,170.00,170.00,163.85,165.95,165.95,168.20,5276,131494,21713260.00,
500189,HINDUJA VENT,B ,Q,316.65,318.00,312.30,315.95,315.95,314.45,311,3556,1118626.00,
500191,HMT LTD.    ,B ,Q,38.00,38.00,36.75,37.00,36.90,37.50,691,49947,1865573.00,
500192,PRAG BOSIMI ,T ,Q,6.13,6.75,6.13,6.40,6.70,6.45,32,5518,34938.00,
500193,HOTEL LEELA.,B ,Q,22.50,22.50,21.50,21.60,21.60,22.95,1114,132194,2882861.00,
500199,I.G.PETRO   ,B ,Q,61.25,63.00,59.00,61.30,61.30,60.90,174,6096,371781.00,
500201,IND.GLYCOLS ,B ,Q,132.35,132.60,126.50,131.05,131.55,131.65,1192,40199,5198069.00,
500206,MARGO FIN   ,T ,Q,5.55,5.55,5.25,5.25,5.25,5.48,4,100,540.00,
500207,INDO RAMA   ,B ,Q,25.50,25.50,23.50,23.55,23.55,24.50,249,20510,492690.00,
500209,INFOSYS LTD ,A ,Q,4126.00,4183.45,4116.30,4168.70,4168.70,4126.00,8170,61841,257290663.00,
500210,INGERSOLL   ,B ,Q,900.00,900.00,850.20,866.80,866.80,886.20,2996,18092,15712491.00,
500211,INSILCO LTD.,T ,Q,20.00,20.00,19.25,19.65,19.65,19.50,82,8340,163554.00,
500212,INTEG.FIN.SE,T ,Q,14.75,15.50,14.75,15.50,15.50,15.50,8,1001,14765.00,
500213,INTER.TRAVEL,B ,Q,265.00,271.00,257.00,269.35,270.00,263.70,428,9857,2620913.00,
500214,ION EXCHANGE,T ,Q,220.20,220.20,220.20,220.20,220.20,209.75,155,14852,3270410.00,
500215,AGRO TECH FO,B ,Q,610.65,625.00,610.15,621.05,625.00,616.70,255,3112,1932598.00,
500219,JAIN IRRIG  ,A ,Q,86.05,87.95,83.30,83.85,83.85,86.65,4401,327615,27974299.00,
500220,JASCH INDUST,B ,Q,20.50,20.50,17.20,18.45,18.50,19.90,54,3020,57299.00,
500222,JCT ELECTRON,B ,Q,0.69,0.69,0.63,0.67,0.69,0.66,641,15381,10465.00,
500223,JCT LTD     ,B ,Q,5.00,5.29,4.55,4.65,4.65,4.93,1917,1412435,6898268.00,
500227,JINDAL POLYF,B ,Q,307.70,310.50,297.00,298.40,298.40,306.70,1470,29448,8912858.00,
500228,JSWSL       ,A ,Q,1228.00,1239.60,1207.70,1214.40,1214.40,1228.85,4909,48243,58756059.00,
500231,UMANG DAIR  ,B ,Q,61.45,61.50,56.00,56.75,56.75,57.65,356,29811,1736124.00,
500233,KAJARIA CER.,A ,Q,595.10,596.00,588.20,590.65,588.20,590.80,546,5129,3037684.00,
500234,KAKATIYA CEM,B ,Q,111.00,112.65,109.20,109.50,109.50,110.70,111,3648,403732.00,
