SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1102.00,1104.20,1088.00,1093.70,1093.70,1102.00,737,5481,6004566.00,
500003,AEGIS LOGIS ,B ,Q,422.00,454.50,418.00,443.80,443.80,420.75,3192,40958,18108742.00,
500008,AMAR RAJA BA,A ,Q,769.00,769.50,740.70,749.25,749.25,765.65,1957,21167,15911963.00,
500009,A.SARABHAI  ,B ,Q,4.82,5.21,4.82,5.21,5.21,5.04,45,4729,23269.00,
500010,HDFC        ,A ,Q,1144.00,1160.70,1127.15,1157.50,1157.50,1144.60,6416,154514,177364873.00,
500012,ANDHRA PETRO,B ,Q,8.70,8.89,8.60,8.75,8.72,8.67,121,15048,131664.00,
500013,ANSAL INFRAS,B ,Q,29.80,33.35,29.60,32.35,32.00,29.70,797,53147,1680433.00,
500014,APPLE FINANC,B ,Q,3.07,3.27,3.07,3.12,3.12,3.26,86,21424,68472.00,
500020,BOM DYEING  ,B ,Q,68.50,70.60,68.30,69.75,69.75,69.10,4359,375144,26070048.00,
500023,ASIANHOTNR  ,B ,Q,118.00,118.00,116.05,117.70,117.95,116.90,23,321,37711.00,
500024,ASSAMCO     ,B ,Q,4.74,4.74,4.52,4.59,4.59,4.57,339,131623,608658.00,
500027,ATUL LTD.   ,A ,Q,1285.95,1289.90,1251.20,1275.60,1265.25,1296.40,1330,5963,7600390.00,
500028,ATV PROJECTS,T ,Q,3.35,3.69,3.35,3.67,3.56,3.52,71,4624,16503.00,
500029,AUTOLITE(I) ,B ,Q,38.40,38.50,36.00,36.90,36.90,37.40,74,5303,196478.00,
500030,AUTORID.FIN ,B ,Q,1.06,1.06,1.06,1.06,1.06,1.06,21,9900,10494.00,
500031,BAJAJ ELECT.,A ,Q,204.30,210.50,204.20,208.75,208.75,203.35,3437,92270,19225644.00,
500032,BAJAJHIND.LT,B ,Q,20.55,21.45,20.50,20.85,20.85,20.25,4466,865906,18105433.00,
500033,FORCE MOTR  ,B ,Q,1249.95,1277.00,1248.10,1259.95,1259.95,1252.30,5695,75425,95422717.00,
500034,BAJFINANCE  ,A ,Q,3020.00,3045.00,2961.60,2982.80,2982.80,2999.40,618,3809,11482552.00,
500038,BALRAM.CHINI,A ,Q,60.50,61.55,60.05,60.45,60.45,60.15,1734,92542,5620116.00,
500039,BANCO PROD. ,B ,Q,179.00,179.40,173.20,174.00,174.00,176.60,1119,33104,5833948.00,
500040,CENTURY TEXT,A ,Q,536.00,546.95,531.00,543.15,543.15,536.30,2030,62638,33946703.00,
500041,BANNARI AMAN,B ,Q,1299.75,1299.75,1287.25,1294.90,1294.90,1299.90,10,28,36173.00,
500042,BASF INDIA  ,B ,Q,1266.15,1287.00,1255.00,1268.15,1265.05,1259.75,624,3396,4308622.00,
500043,BATA INDIA  ,A ,Q,1265.15,1265.95,1235.00,1238.85,1238.85,1264.10,2245,17638,21989978.00,
500046,BEST&CROMPT.,Z ,Q,3.37,3.60,3.36,3.37,3.60,3.53,19,4200,14297.00,
500048,BEML LTD    ,A ,Q,686.30,710.00,686.15,702.40,702.40,693.25,4077,51411,36102326.00,
500049,BHARAT ELECT,A ,Q,2280.00,2312.00,2265.15,2302.40,2302.40,2272.85,1600,69847,160626243.00,
500051,BHAG GAS    ,Z ,Q,0.95,0.95,0.95,0.95,0.95,0.95,5,2100,1995.00,
500052,BHANSALI ENG,B ,Q,14.00,14.25,13.85,14.25,14.25,14.60,11,961,13364.00,
500055,BHUSH STEEL ,A ,Q,99.00,102.00,98.00,99.65,99.65,99.00,1736,66626,6656797.00,
500057,ABCIL       ,B ,Q,220.00,233.75,220.00,232.75,233.75,227.60,488,7814,1799491.00,
500058,BIHAR SPONGE,T ,Q,2.75,2.95,2.71,2.90,2.95,2.85,58,21800,61211.00,
500059,BINANI IND. ,B ,Q,101.00,105.35,101.00,102.85,102.85,101.05,430,10007,1032855.00,
500060,BIRLA ERIC. ,T ,Q,60.15,62.75,60.15,62.05,62.00,61.80,97,6799,422813.00,
500067,BLUE STAR   ,B ,Q,346.15,348.20,342.30,345.25,345.00,346.55,259,2358,813949.00,
500068,DISA INDIA  ,B ,Q,3565.00,3600.00,3425.00,3511.10,3512.00,3599.95,37,232,822363.00,
500069,BNK CAPITAL ,B ,Q,31.05,33.50,30.00,32.60,32.50,32.15,45,1763,55201.00,
500074,BPL LTD.    ,B ,Q,21.25,21.25,20.70,20.95,21.00,20.70,162,10157,212415.00,
500078,CAMPH.& ALL ,B ,Q,336.00,370.00,335.00,345.65,345.65,320.35,1216,30775,10881585.00,
500083,CENTURY EXT ,B ,Q,2.15,2.20,2.04,2.12,2.12,2.05,30,3390,7179.00,
500084,CESC LTD.   ,A ,Q,674.00,690.00,670.30,684.45,684.45,676.30,1589,21366,14604946.00,
500085,CHAMBAL FERT,B ,Q,62.10,63.60,62.00,63.00,63.00,62.10,1201,68508,4307510.00,
500086,EXIDE IND.  ,A ,Q,151.00,158.50,151.00,156.90,156.90,151.90,3447,168270,26121636.00,
500087,CIPLA LTD.  ,A ,Q,631.00,637.65,624.60,628.35,628.35,624.10,7167,335234,212300583.00,
500089,DIC INDIA   ,B ,Q,386.95,393.75,379.45,389.90,387.50,379.55,179,1095,426071.00,
500092,CRISIL LTD  ,A ,Q,1852.40,1899.65,1851.05,1877.00,1872.65,1848.30,619,1805,3382332.00,
500093,CROMPT.GREAV,A ,Q,197.55,206.30,195.20,204.45,204.45,197.55,13000,642707,130407476.00,
500095,WYETH LTD.  ,B ,Q,1147.50,1256.00,1128.45,1244.10,1244.10,1130.80,2399,19376,23666485.00,
500096,DABUR (I)   ,A ,Q,243.00,243.00,239.20,240.50,240.10,241.95,1515,84516,20348186.00,
500097,DALMIASUG   ,B ,Q,24.00,24.00,23.00,23.10,23.10,23.10,20,692,16231.00,
500101,ARVIND Ltd  ,A ,Q,277.50,281.85,274.20,280.55,280.55,277.75,7875,244753,68296112.00,
500102,BALARPUR IND,B ,Q,16.40,17.10,16.40,16.85,16.85,16.55,970,253293,4244490.00,
500103,BHEL        ,A ,Q,265.10,273.00,263.65,271.20,271.20,265.20,15588,768400,207281082.00,
500104,HIND.PETRO  ,A ,Q,528.50,534.45,526.75,530.60,530.60,527.50,3405,82945,44030606.00,
500106,IFCI LTD    ,A ,Q,38.30,39.10,37.90,38.85,38.85,38.40,3385,608711,23468724.00,
500108,MAHA.TELE   ,B ,Q,27.40,28.25,27.35,27.65,27.65,27.40,2987,552563,15392233.00,
500109,MRPL        ,A ,Q,52.75,52.75,51.00,51.15,51.15,51.45,1647,123899,6424867.00,
500110,CHENNAI PET.,B ,Q,90.40,91.40,89.00,89.55,89.55,89.70,1408,77749,7002004.00,
500111,REL.CAP.    ,A ,Q,479.80,505.20,478.00,501.45,501.45,481.05,35007,1126370,557173256.00,
500112,STATE BANK  ,A ,Q,304.95,308.65,303.80,306.20,306.20,304.95,25216,1686546,516779925.00,
500113,STEEL AUTH. ,A ,Q,85.60,87.70,83.85,87.35,87.35,84.25,5934,464541,40138717.00,
500114,TITAN       ,A ,Q,365.60,372.50,365.60,370.50,370.50,368.55,2769,79019,29272250.00,
500116,IDBI BANK L ,A ,Q,68.20,69.15,67.55,68.20,68.20,68.20,4110,360383,24645146.00,
500117,DCW LTD.    ,B ,Q,19.20,20.15,19.20,19.85,19.85,19.55,1204,180566,3548892.00,
500119,DHAMPUR SUGA,B ,Q,47.00,48.40,46.75,47.50,47.50,47.10,261,20056,952709.00,
500120,DIAMINES&CHM,B ,Q,35.40,35.40,35.40,35.40,35.40,35.20,2,100,3540.00,
500123,ELANTAS     ,B ,Q,838.00,847.00,826.05,836.20,847.00,828.00,199,2631,2202061.00,
