SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1122.00,1188.00,1107.00,1155.65,1155.65,1123.65,3559,20398,23643392.00,
500003,AEGIS LOGIS ,B ,Q,351.00,353.00,343.70,346.50,346.50,347.50,656,7958,2777329.00,
500008,AMAR RAJA BA,A ,Q,630.00,632.50,615.00,627.25,627.25,629.80,1174,12109,7558559.00,
500009,A.SARABHAI  ,B ,Q,4.66,4.96,4.52,4.96,4.96,4.73,37,6725,32701.00,
500010,HDFC        ,A ,Q,1030.00,1063.15,1030.00,1036.15,1036.15,1031.80,6231,88946,93305106.00,
500012,ANDHRA PETRO,B ,Q,9.40,9.80,9.40,9.56,9.55,9.50,97,33086,317458.00,
500013,ANSAL INFRAS,B ,Q,29.20,30.75,28.35,29.80,29.80,29.10,247,18168,534615.00,
500014,APPLE FINANC,B ,Q,2.70,2.90,2.70,2.71,2.70,2.79,32,7432,20103.00,
500020,BOM DYEING  ,B ,Q,66.40,66.50,64.65,64.90,64.90,66.05,1569,235240,15325433.00,
500023,ASIANHOTNR  ,B ,Q,131.95,132.00,126.30,128.85,128.85,125.75,26,1395,180980.00,
500024,ASSAMCO     ,B ,Q,4.64,4.64,4.44,4.46,4.48,4.52,592,186717,837594.00,
500027,ATUL LTD.   ,A ,Q,1276.00,1276.00,1230.10,1248.50,1246.05,1274.75,966,4544,5676996.00,
500028,ATV PROJECTS,T ,Q,3.10,3.11,3.08,3.08,3.08,3.24,120,7123,21988.00,
500029,AUTOLITE(I) ,B ,Q,28.00,28.00,26.70,27.05,27.60,27.20,62,1357,36787.00,
500030,AUTORID.FIN ,B ,Q,2.25,2.25,2.25,2.25,2.25,2.05,2,5,11.00,
500031,BAJAJ ELECT.,A ,Q,281.40,285.50,277.65,284.30,284.30,281.50,1480,22923,6474061.00,
500032,BAJAJHIND.LT,B ,Q,19.30,20.20,19.15,19.80,19.80,19.10,2511,612173,12072324.00,
500033,FORCE MOTR  ,B ,Q,1300.60,1308.00,1260.70,1269.65,1269.65,1303.20,7210,96013,123411538.00,
500034,BAJFINANCE  ,A ,Q,2740.00,2878.00,2735.80,2837.00,2837.00,2729.05,1180,4722,13212541.00,
500038,BALRAM.CHINI,A ,Q,56.85,57.55,55.80,56.35,56.35,56.40,1499,115149,6522973.00,
500039,BANCO PROD. ,B ,Q,152.00,153.00,148.00,149.05,149.05,150.65,730,35123,5301697.00,
500040,CENTURY TEXT,A ,Q,539.00,539.65,521.00,522.40,522.40,537.35,1874,44329,23368980.00,
500041,BANNARI AMAN,B ,Q,1275.00,1320.00,1275.00,1292.50,1305.00,1261.00,56,165,214522.00,
500042,BASF INDIA  ,B ,Q,1231.10,1231.10,1192.05,1204.25,1201.00,1235.20,533,3027,3661449.00,
500043,BATA INDIA  ,A ,Q,1260.00,1263.00,1230.25,1238.50,1238.50,1254.15,969,6098,7596896.00,
500048,BEML LTD    ,A ,Q,654.60,702.90,654.60,681.75,681.75,649.40,18687,247701,170301867.00,
500049,BHARAT ELECT,A ,Q,2110.00,2234.00,2052.15,2065.25,2065.25,2057.30,8364,46474,99979598.00,
500051,BHAG GAS    ,Z ,Q,0.99,0.99,0.99,0.99,0.99,1.04,2,200,198.00,
500052,BHANSALI ENG,B ,Q,15.50,15.50,15.50,15.50,15.50,16.05,28,76,1178.00,
500055,BHUSH STEEL ,A ,Q,108.30,108.90,106.50,106.65,106.65,108.00,839,34739,3727833.00,
500057,ABCIL       ,B ,Q,261.45,263.00,258.00,260.50,258.00,260.70,326,4360,1138035.00,
500058,BIHAR SPONGE,T ,Q,3.01,3.19,3.01,3.05,3.05,3.05,11,3784,11864.00,
500059,BINANI IND. ,B ,Q,115.10,116.40,111.80,112.40,111.80,115.05,468,8796,999900.00,
500060,BIRLA ERIC. ,T ,Q,81.00,82.20,78.05,82.20,82.20,78.30,236,23739,1940469.00,
500067,BLUE STAR   ,B ,Q,337.00,345.00,337.00,342.75,342.75,337.45,345,2833,969000.00,
500068,DISA INDIA  ,B ,Q,3760.00,3760.00,3655.00,3665.00,3675.00,3760.00,6,52,195330.00,
500069,BNK CAPITAL ,B ,Q,39.75,39.75,33.90,33.90,33.90,35.95,8,100,3400.00,
500074,BPL LTD.    ,B ,Q,19.10,19.45,19.00,19.05,19.00,19.35,103,8933,171562.00,
500078,CAMPH.& ALL ,B ,Q,350.00,355.00,345.00,345.00,345.00,348.75,34,445,154396.00,
500083,CENTURY EXT ,B ,Q,2.14,2.14,1.75,1.83,1.90,2.06,253,2108,3833.00,
500084,CESC LTD.   ,A ,Q,692.70,692.70,664.05,671.90,671.90,683.00,2274,36211,24663838.00,
500085,CHAMBAL FERT,B ,Q,61.60,63.50,60.55,61.25,61.20,61.00,2167,114496,7116038.00,
500086,EXIDE IND.  ,A ,Q,162.00,162.10,155.70,156.40,156.40,159.45,4157,173728,27553644.00,
500087,CIPLA LTD.  ,A ,Q,626.05,631.25,622.05,627.15,627.15,628.45,2676,63258,39593194.00,
500089,DIC INDIA   ,B ,Q,398.95,399.15,368.50,370.20,370.20,387.45,552,9361,3572990.00,
500092,CRISIL LTD  ,A ,Q,1854.95,1868.90,1825.00,1835.35,1825.00,1863.70,361,795,1467448.00,
500093,CROMPT.GREAV,A ,Q,189.90,191.00,177.70,178.60,178.60,188.35,16048,904791,163563914.00,
500095,WYETH LTD.  ,B ,Q,1046.20,1075.00,1046.20,1064.35,1064.35,1052.90,394,2297,2439253.00,
500096,DABUR (I)   ,A ,Q,215.85,219.00,196.40,209.20,209.20,215.80,35692,1625959,335774862.00,
500097,DALMIASUG   ,B ,Q,22.30,22.30,20.65,21.50,21.55,21.70,63,1508,32054.00,
500101,ARVIND Ltd  ,A ,Q,298.40,304.80,294.20,295.55,295.55,296.90,8946,316366,95073104.00,
500102,BALARPUR IND,B ,Q,16.80,16.80,16.25,16.30,16.35,16.60,563,121290,1997484.00,
500103,BHEL        ,A ,Q,242.50,252.65,242.50,252.00,252.00,240.05,23622,1170330,291749163.00,
500104,HIND.PETRO  ,A ,Q,530.00,530.00,512.55,515.20,515.20,526.95,3537,103889,54157283.00,
500106,IFCI LTD    ,A ,Q,35.35,36.00,35.05,35.60,35.60,35.30,3237,653153,23268604.00,
500108,MAHA.TELE   ,B ,Q,26.95,28.10,26.65,27.20,27.20,26.95,4149,826684,22707139.00,
500109,MRPL        ,A ,Q,59.30,60.00,58.50,58.60,58.60,59.60,903,51373,3024970.00,
500110,CHENNAI PET.,B ,Q,105.00,105.05,100.50,100.70,100.70,105.20,2573,153911,15682929.00,
500111,REL.CAP.    ,A ,Q,468.00,469.00,454.00,457.75,457.75,466.90,10566,273204,126046412.00,
500112,STATE BANK  ,A ,Q,2595.00,2618.90,2580.55,2594.60,2594.60,2582.35,14576,175700,457075940.00,
500113,STEEL AUTH. ,A ,Q,83.35,83.35,81.75,82.15,82.15,83.35,2680,240770,19848561.00,
500114,TITAN       ,A ,Q,396.70,402.40,392.00,400.20,400.20,395.40,2242,71595,28527663.00,
500116,IDBI BANK L ,A ,Q,67.60,68.70,67.10,68.25,68.25,67.25,4963,438635,29852986.00,
500117,DCW LTD.    ,B ,Q,24.40,24.45,23.60,23.75,23.75,24.30,752,141641,3385718.00,
500119,DHAMPUR SUGA,B ,Q,47.05,49.00,46.30,46.50,46.45,47.35,244,11254,535490.00,
500120,DIAMINES&CHM,B ,Q,37.00,38.00,35.25,35.50,35.40,38.15,33,867,31114.00,
500123,ELANTAS     ,B ,Q,820.00,837.40,820.00,830.10,830.10,813.20,186,6851,5690413.00,
500124,DR.REDDY'S  ,A ,Q,3177.00,3185.00,3075.00,3105.50,3105.50,3054.35,2136,12838,40045878.00,
500125,E.I.D.PAR   ,A ,Q,220.10,227.00,220.10,221.10,221.10,218.50,1293,256979,57765717.00,
500126,MERCK LTD   ,B ,Q,846.90,848.50,833.00,839.45,833.00,838.20,666,3875,3251662.00,
500128,ELEC.CASTING,B ,Q,19.70,20.40,19.50,19.95,19.95,19.75,715,104709,2097002.00,
500132,EMPEE SUGARS,B ,Q,4.31,4.31,4.31,4.31,4.31,4.69,5,150,646.00,
500133,ESAB INDIA  ,B ,Q,617.80,721.95,600.00,720.75,720.75,601.65,718,9334,6627971.00,
500134,ESSAR OIL   ,A ,Q,121.05,121.05,117.90,118.45,118.45,120.10,673,24860,2948872.00,
500135,ESSEL PROP  ,B ,Q,118.00,120.80,114.10,115.00,115.00,115.15,1082,29291,3447635.00,
500136,ESTER INDUS.,B ,Q,24.10,24.15,23.30,23.45,23.30,24.05,58,4733,111507.00,
500139,FEDDER.LLYOD,B ,Q,66.05,73.00,66.05,70.55,70.55,64.90,2992,123418,8777549.00,
500141,FERRO ALLOYS,B ,Q,7.90,8.10,7.90,8.10,8.10,8.10,49,33533,268313.00,
500144,FINOL. CABLE,A ,Q,225.50,226.95,220.65,225.90,224.95,224.00,782,19511,4375417.00,
500145,FIRST LEASIN,Z ,Q,5.51,5.80,5.51,5.51,5.51,5.79,17,1396,7765.00,
500147,CMI FPE     ,B ,Q,440.10,460.00,440.10,443.10,443.10,440.50,28,651,293202.00,
500148,UFLEX LTD   ,B ,Q,153.30,153.90,149.50,151.00,151.00,152.35,998,28753,4358590.00,
500150,FOSECO INDIA,B ,Q,924.00,935.00,906.10,915.50,920.00,928.45,205,619,571982.00,
500151,GOLDEN TOB  ,B ,Q,22.00,22.00,20.70,21.00,21.30,21.70,34,1534,32328.00,
500153,GANESH BENZO,B ,Q,6.50,6.55,5.80,5.80,5.80,6.01,39,11168,71343.00,
500155,GARDEN SILK ,B ,Q,37.95,38.00,36.60,36.70,36.70,37.10,68,2980,110276.00,
500159,METROGLOBL  ,B ,Q,56.00,63.00,54.00,61.65,60.00,54.95,122,5355,309982.00,
500160,GTL LTD.    ,B ,Q,21.75,21.75,20.40,20.60,20.50,20.95,426,47301,982865.00,
500162,PARRYSUGR   ,B ,Q,21.75,22.00,20.35,21.95,22.00,20.10,18,649,14053.00,
500163,GODFREY PH  ,B ,Q,2800.00,2843.00,2792.00,2829.70,2821.00,2822.35,226,1071,3030129.00,
500164,GODREJ IND  ,A ,Q,295.10,296.00,288.65,290.00,290.00,293.40,984,26482,7720770.00,
500165,KANSAI NERO ,B ,Q,2020.00,2081.80,1970.05,1982.35,1982.35,1998.90,1420,4497,9054455.00,
500166,GOODRICKE   ,B ,Q,168.50,173.05,168.50,171.10,170.00,171.25,201,6886,1183989.00,
500168,GOODYEAR (I),B ,Q,655.00,660.00,646.25,649.85,652.00,651.25,426,3998,2611050.00,
500170,GTN INDUS   ,B ,Q,14.70,14.70,13.10,13.10,13.10,13.60,11,1534,20327.00,
500171,GHCL LTD    ,B ,Q,86.00,86.70,83.10,83.95,83.95,85.60,656,24103,2049639.00,
500173,GUJ.FLOURO  ,B ,Q,745.00,759.00,725.55,728.55,728.55,741.80,651,2691,1971595.00,
500174,GUJ.LEASE   ,B ,Q,3.09,3.09,2.58,2.65,2.65,2.86,16,3298,8791.00,
