SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1101.05,1128.00,1101.05,1116.80,1116.80,1099.40,1479,8515,9510450.00,
500003,AEGIS LOGIS ,B ,Q,470.65,474.00,445.10,450.60,450.60,468.00,2790,43954,20304855.00,
500008,AMAR RAJA BA,A ,Q,727.60,748.80,720.00,743.25,747.00,720.20,3315,41639,30813802.00,
500009,A.SARABHAI  ,B ,Q,5.21,5.30,5.21,5.21,5.21,5.28,51,8251,43277.00,
500010,HDFC        ,A ,Q,1135.00,1143.50,1119.00,1134.20,1134.20,1133.60,3866,69344,78681664.00,
500012,ANDHRA PETRO,B ,Q,9.00,9.18,8.75,8.91,8.80,9.01,132,49035,439406.00,
500013,ANSAL INFRAS,B ,Q,30.90,31.35,30.20,30.95,30.80,31.10,540,30513,936508.00,
500014,APPLE FINANC,B ,Q,3.15,3.80,3.15,3.65,3.65,3.17,328,133540,488935.00,
500020,BOM DYEING  ,B ,Q,71.95,72.15,69.60,70.65,70.65,71.80,6164,607087,42862191.00,
500023,ASIANHOTNR  ,B ,Q,124.00,124.00,116.00,120.15,116.00,123.60,90,4228,505939.00,
500024,ASSAMCO     ,B ,Q,4.71,4.92,4.70,4.81,4.81,4.65,1274,428624,2072734.00,
500027,ATUL LTD.   ,A ,Q,1351.25,1351.25,1295.00,1306.60,1295.00,1350.15,584,3154,4160862.00,
500028,ATV PROJECTS,T ,Q,3.50,3.84,3.50,3.57,3.80,3.67,71,6833,25017.00,
500029,AUTOLITE(I) ,B ,Q,38.10,38.50,37.30,37.45,37.40,38.50,154,5283,199928.00,
500030,AUTORID.FIN ,B ,Q,1.11,1.11,1.11,1.11,1.11,1.16,10,3312,3676.00,
500031,BAJAJ ELECT.,A ,Q,216.10,222.70,215.00,217.60,217.60,216.05,4996,148002,32324852.00,
500032,BAJAJHIND.LT,B ,Q,21.15,22.10,20.65,21.30,21.30,21.10,3557,732127,15642323.00,
500033,FORCE MOTR  ,B ,Q,1299.00,1315.00,1279.00,1284.95,1284.95,1293.65,4947,70100,90897616.00,
500034,BAJFINANCE  ,A ,Q,3130.00,3175.70,3035.00,3047.90,3047.90,3076.90,712,1942,6022558.00,
500038,BALRAM.CHINI,A ,Q,61.75,63.60,59.50,62.55,62.55,61.95,4045,262620,16260459.00,
500039,BANCO PROD. ,B ,Q,178.80,182.80,175.85,178.70,178.70,176.00,3232,96436,17353497.00,
500040,CENTURY TEXT,A ,Q,553.30,559.35,547.50,550.15,550.15,553.80,1768,63719,35254439.00,
500041,BANNARI AMAN,B ,Q,1350.00,1350.00,1306.05,1309.00,1309.00,1328.30,18,98,128704.00,
500042,BASF INDIA  ,B ,Q,1295.00,1301.10,1260.20,1268.80,1268.80,1288.60,915,4306,5490365.00,
500043,BATA INDIA  ,A ,Q,1300.00,1304.00,1284.30,1288.05,1288.05,1293.85,776,8208,10601366.00,
500046,BEST&CROMPT.,Z ,Q,3.61,3.96,3.61,3.71,3.71,3.79,24,1771,6877.00,
500048,BEML LTD    ,A ,Q,709.00,734.90,697.00,717.40,717.40,707.10,7961,116679,84020464.00,
500049,BHARAT ELECT,A ,Q,2182.00,2333.95,2182.00,2307.40,2307.40,2186.00,5409,79165,179434657.00,
500051,BHAG GAS    ,Z ,Q,0.99,0.99,0.99,0.99,0.99,0.95,12,1112,1100.00,
500052,BHANSALI ENG,B ,Q,15.45,15.45,14.75,14.95,15.30,15.00,13,1311,20127.00,
500055,BHUSH STEEL ,A ,Q,103.00,103.80,101.05,101.35,101.35,101.35,1794,81835,8358167.00,
500057,ABCIL       ,B ,Q,246.00,246.00,240.00,241.70,243.45,245.00,278,5368,1302558.00,
500058,BIHAR SPONGE,T ,Q,2.99,3.05,2.82,2.95,2.99,2.91,56,4201,12345.00,
500059,BINANI IND. ,B ,Q,106.95,107.80,103.35,105.45,103.40,104.80,721,24067,2553483.00,
