SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1173.00,1179.05,1155.85,1166.75,1166.75,1172.90,1669,9682,11275214.00,
500003,AEGIS LOGIS ,B ,Q,363.80,373.80,362.05,370.40,370.40,363.60,850,8381,3082828.00,
500008,AMAR RAJA BA,A ,Q,655.00,663.75,648.50,652.70,652.70,649.00,1028,9650,6340334.00,
500009,A.SARABHAI  ,B ,Q,5.40,5.48,5.40,5.48,5.48,5.22,84,30753,168463.00,
500010,HDFC        ,A ,Q,1065.00,1110.00,1065.00,1105.95,1105.95,1062.10,15097,181001,197997794.00,
500012,ANDHRA PETRO,B ,Q,9.17,9.41,9.05,9.11,9.11,9.30,194,61407,563192.00,
500013,ANSAL INFRAS,B ,Q,32.70,32.70,31.10,32.45,32.45,32.30,442,31553,1015228.00,
500014,APPLE FINANC,B ,Q,2.44,2.82,2.38,2.42,2.38,2.64,86,48387,123318.00,
500020,BOM DYEING  ,B ,Q,66.50,67.50,66.40,66.75,66.75,66.05,3372,265109,17774057.00,
500023,ASIANHOTNR  ,B ,Q,130.00,131.90,126.05,131.90,131.90,127.00,42,320,41221.00,
500024,ASSAMCO     ,B ,Q,4.50,4.69,4.47,4.55,4.55,4.44,1160,325833,1494973.00,
500027,ATUL LTD.   ,A ,Q,1245.00,1296.35,1245.00,1274.20,1269.50,1259.85,1913,23906,30588231.00,
500028,ATV PROJECTS,T ,Q,2.82,3.05,2.82,3.00,3.05,2.91,51,8470,25436.00,
500029,AUTOLITE(I) ,B ,Q,27.00,27.90,26.65,27.35,27.05,27.25,98,4732,129036.00,
500030,AUTORID.FIN ,B ,Q,2.00,2.00,2.00,2.00,2.00,2.22,2,1,2.00,
500031,BAJAJ ELECT.,A ,Q,282.40,287.50,282.10,283.55,283.55,282.35,1356,18952,5405401.00,
500032,BAJAJHIND.LT,B ,Q,19.30,19.90,19.30,19.45,19.45,19.30,1198,246345,4818840.00,
500033,FORCE MOTR  ,B ,Q,1339.00,1347.65,1302.00,1307.75,1307.75,1328.45,8356,117615,155789179.00,
500034,BAJFINANCE  ,A ,Q,2800.00,2837.35,2780.00,2798.50,2798.50,2787.00,887,2393,6712037.00,
500038,BALRAM.CHINI,A ,Q,55.00,56.25,54.25,55.00,55.00,54.20,1393,1054133,58157155.00,
500039,BANCO PROD. ,B ,Q,162.00,167.40,156.55,165.50,165.50,160.10,2317,74014,11989971.00,
500040,CENTURY TEXT,A ,Q,564.25,574.30,551.40,555.60,555.60,558.90,17578,475362,267060192.00,
500041,BANNARI AMAN,B ,Q,1358.90,1358.90,1275.00,1297.65,1299.50,1269.50,36,142,185323.00,
500042,BASF INDIA  ,B ,Q,1208.00,1227.70,1200.00,1213.95,1213.95,1203.10,882,3705,4502592.00,
500043,BATA INDIA  ,A ,Q,1263.00,1294.70,1263.00,1272.05,1279.00,1257.85,1635,13018,16635313.00,
500046,BEST&CROMPT.,Z ,Q,4.08,4.45,4.08,4.44,4.44,4.29,53,3568,14994.00,
500048,BEML LTD    ,A ,Q,673.00,688.40,668.00,675.65,675.65,671.05,6150,81388,55230537.00,
500049,BHARAT ELECT,A ,Q,2050.00,2090.00,2042.50,2077.35,2077.35,2040.70,1535,9015,18629503.00,
500051,BHAG GAS    ,Z ,Q,1.03,1.03,1.03,1.03,1.03,0.99,6,2500,2575.00,
500052,BHANSALI ENG,B ,Q,15.60,16.00,14.15,15.20,15.45,14.90,54,2885,44664.00,
500055,BHUSH STEEL ,A ,Q,108.00,108.15,105.25,106.05,106.05,105.60,2319,121980,13002349.00,
500057,ABCIL       ,B ,Q,276.00,278.00,258.00,259.95,259.95,274.60,1140,19471,5205807.00,
500058,BIHAR SPONGE,T ,Q,3.10,3.18,2.96,2.96,2.96,3.09,48,8892,26709.00,
500059,BINANI IND. ,B ,Q,117.50,119.90,116.25,116.85,116.85,116.50,940,29051,3423398.00,
500060,BIRLA ERIC. ,T ,Q,78.45,83.85,78.45,83.15,83.15,82.45,418,36171,2970253.00,
500067,BLUE STAR   ,B ,Q,342.00,344.90,336.65,338.60,338.60,339.55,408,4617,1576441.00,
500068,DISA INDIA  ,B ,Q,3749.00,3775.00,3509.95,3718.80,3775.00,3650.00,243,984,3527291.00,
500069,BNK CAPITAL ,B ,Q,35.00,38.00,33.00,37.10,38.00,35.30,118,4358,156063.00,
500074,BPL LTD.    ,B ,Q,19.20,20.60,19.10,19.95,19.95,18.95,765,72156,1433744.00,
500078,CAMPH.& ALL ,B ,Q,357.95,359.65,348.25,352.20,352.20,351.80,57,1489,527183.00,
500083,CENTURY EXT ,B ,Q,2.08,2.08,1.58,1.89,1.97,1.90,442,13421,25599.00,
500084,CESC LTD.   ,A ,Q,662.00,680.90,662.00,678.30,678.30,657.60,2500,31931,21492880.00,
500085,CHAMBAL FERT,B ,Q,61.90,62.55,61.30,61.60,61.60,61.30,1209,84548,5238468.00,
500086,EXIDE IND.  ,A ,Q,157.90,159.45,157.05,157.90,157.90,156.55,3865,237004,37502580.00,
500087,CIPLA LTD.  ,A ,Q,654.00,671.95,647.00,667.10,667.10,650.55,5714,152667,100901882.00,
500089,DIC INDIA   ,B ,Q,415.00,429.90,411.10,413.60,413.60,415.00,549,5696,2386598.00,
500092,CRISIL LTD  ,A ,Q,1825.00,1830.00,1804.40,1820.05,1820.05,1818.35,473,1280,2330533.00,
500093,CROMPT.GREAV,A ,Q,185.00,189.00,184.60,187.65,187.65,183.60,10297,553553,103768412.00,
500095,WYETH LTD.  ,B ,Q,1059.10,1093.80,1059.10,1086.65,1085.00,1049.35,625,3227,3492637.00,
