SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1114.00,1120.00,1090.05,1102.20,1102.20,1116.75,1667,11051,12246086.00,
500003,AEGIS LOGIS ,B ,Q,467.65,485.00,442.05,473.60,473.60,464.05,6006,97689,45127884.00,XD
500008,AMAR RAJA BA,A ,Q,789.95,792.40,731.25,734.70,734.70,783.40,5703,59331,44422279.00,
500009,A.SARABHAI  ,B ,Q,5.46,5.50,5.09,5.22,5.22,5.24,89,18674,100498.00,
500010,HDFC        ,A ,Q,1111.00,1124.85,1104.45,1120.45,1120.45,1116.60,2848,44819,49955593.00,
500012,ANDHRA PETRO,B ,Q,8.85,9.39,8.85,9.09,9.29,9.07,139,14992,136949.00,
500013,ANSAL INFRAS,B ,Q,32.00,32.15,30.80,31.10,30.85,31.90,383,22140,697306.00,
500014,APPLE FINANC,B ,Q,3.06,3.06,2.88,3.00,3.00,2.85,55,10385,30688.00,
500020,BOM DYEING  ,B ,Q,68.45,70.00,66.80,68.55,68.55,68.45,3586,349008,23784744.00,
500023,ASIANHOTNR  ,B ,Q,124.50,124.85,117.00,121.15,124.85,124.00,58,3729,446877.00,
500024,ASSAMCO     ,B ,Q,4.99,4.99,4.63,4.66,4.67,4.80,877,270900,1285581.00,
500027,ATUL LTD.   ,A ,Q,1363.95,1368.95,1340.05,1346.85,1350.00,1347.15,995,16051,21674947.00,
500028,ATV PROJECTS,T ,Q,3.54,3.83,3.53,3.79,3.71,3.65,66,18146,66076.00,
500029,AUTOLITE(I) ,B ,Q,37.90,41.50,37.45,40.45,40.45,37.55,206,13779,545885.00,
500030,AUTORID.FIN ,B ,Q,1.22,1.22,1.22,1.22,1.22,1.28,4,110,134.00,
500031,BAJAJ ELECT.,A ,Q,236.00,237.45,229.30,229.80,229.80,236.00,3279,85876,19891381.00,
500032,BAJAJHIND.LT,B ,Q,23.30,23.30,21.00,21.45,21.45,23.20,4411,790203,17381127.00,
500033,FORCE MOTR  ,B ,Q,1330.95,1338.70,1296.00,1311.50,1311.50,1328.35,8313,117269,154463459.00,
500034,BAJFINANCE  ,A ,Q,3051.50,3119.90,3020.00,3104.80,3104.80,3094.25,1107,3018,9302669.00,
500038,BALRAM.CHINI,A ,Q,67.50,67.50,63.50,65.40,65.40,67.10,3954,231344,15044016.00,
500039,BANCO PROD. ,B ,Q,177.00,179.10,172.20,174.95,174.25,177.40,1725,39911,7001572.00,
500040,CENTURY TEXT,A ,Q,546.50,561.00,543.70,555.05,555.05,550.55,4338,111396,61680682.00,
500041,BANNARI AMAN,B ,Q,1342.10,1378.80,1325.00,1376.05,1325.00,1367.25,17,166,225014.00,
500042,BASF INDIA  ,B ,Q,1268.00,1291.95,1247.00,1257.95,1257.95,1269.55,1334,6391,8073414.00,
500043,BATA INDIA  ,A ,Q,1310.00,1313.95,1282.80,1303.25,1303.00,1306.75,1330,10644,13800285.00,
500046,BEST&CROMPT.,Z ,Q,3.97,3.97,3.61,3.61,3.61,3.79,18,3500,12959.00,
500048,BEML LTD    ,A ,Q,715.00,719.95,697.00,706.55,706.55,713.30,2854,35154,24945191.00,
500049,BHARAT ELECT,A ,Q,2236.30,2264.00,2188.05,2198.70,2198.70,2243.50,1787,10489,23230070.00,
500051,BHAG GAS    ,Z ,Q,0.99,0.99,0.99,0.99,0.99,0.95,4,600,594.00,
500052,BHANSALI ENG,B ,Q,14.70,15.45,14.70,15.45,15.45,15.50,12,1206,17882.00,
500055,BHUSH STEEL ,A ,Q,104.75,105.60,102.90,103.30,103.30,104.05,783,44508,4613481.00,
500057,ABCIL       ,B ,Q,243.80,244.80,242.00,242.25,242.25,245.15,140,2333,566640.00,
500058,BIHAR SPONGE,T ,Q,3.15,3.15,2.93,2.96,3.11,3.00,31,8255,25126.00,
